F9_00_ORG_ADDR_CITY,F9_00_ORG_ADDR_STATE,F9_09_EXP_FEE_SVC_ACC_TOT,F9_10_LIAB_ACC_PAYABLE_EOY,F9_10_ASSET_ACC_NET_EOY,F9_09_EXP_AD_PROMO_TOT,F9_09_EXP_BEN_PAID_MEMB_TOT,F9_10_NAFB_CAP_STCK_EOY,F9_09_EXP_COMP_DSQ_PERS_TOT,F9_09_EXP_CONF_MEETING_TOT,F9_10_ASSET_LOAN_OFF_EOY,F9_10_LIAB_REV_DEFERRED_EOY,F9_09_EXP_DEPREC_TOT,F9_00_ORG_EIN,F9_10_LIAB_ESCROW_ACC_EOY,SA_03_PUB_AMT_CONTR_SBST_TOT,SA_02_PUB_CONTR_SBST_TOT,F9_05_NUM_FORM_1096_BOX_3,F9_05_170C_NUM_FORM_8282_FILED_X,F9_09_EXP_FEE_SVC_INVEST_TOT,F9_09_EXP_FEE_SVC_LOB_TOT,F9_09_EXP_FEE_SVC_MGMT_TOT,F9_09_EXP_FEE_SVC_OTH_TOT,F9_05_NUM_FORM_W2G,SA_02_PUB_GIFT_GRANT_CONTR_TOT,F9_08_REV_OTH_SALE_GAIN_NET_TOT,F9_09_EXP_GRANT_US_INDIV_TOT,F9_10_LIAB_GRANT_PAYABLE_EOY,F9_09_EXP_GRANT_FRGN_TOT,F9_09_EXP_GRANT_US_ORG_TOT,SA_02_TOT_INCOME_GRO_TOT,SA_03_TOT_INCOME_GRO_TOT,F9_08_REV_OTH_FUNDR_EVNT_1,F9_08_REV_OTH_GAMING,F9_05_501C7_GRO_RCPT_PUB_USE,SA_03_PUB_GRO_RCPT_NONUBIZ_TOT,SA_03_PUB_GRO_RCPT_ADM_TOT,SA_02_TOT_GRO_RCPT_RLTD_ACTS,F9_08_REV_OTH_RENT_GRO_PERS,F9_08_REV_OTH_RENT_GRO_REAL,F9_09_EXP_INFO_TECH_TOT,F9_09_EXP_INSURANCE_TOT,F9_10_ASSET_INTANGIBLE_EOY,F9_09_EXP_INT_TOT,F9_10_ASSET_INV_SALE_EOY,F9_10_ASSET_INVEST_SEC_EOY,F9_10_ASSET_INVEST_SEC_OTH_EOY,F9_10_ASSET_INVEST_PROG_RLTD_EOY,F9_09_EXP_FEE_SVC_LEGAL_TOT,F9_08_REV_OTH_FUNDR_DIRECT_EXP,F9_08_REV_OTH_GAMING_DIRECT_EXP,F9_08_REV_MISC_BIZCODE,F9_08_REV_MISC_BIZCODE_2,F9_08_REV_MISC_BIZCODE_3,F9_08_REV_MISC_OTH_TOT,F9_08_REV_OTH_FUNDR_NET_TOT,F9_08_REV_OTH_GAMING_NET_TOT,SA_02_TOT_INCOME_NET_UBIZ_TOT,SA_03_TOT_INCOME_NET_UBIZ_TOT,F9_07_COMP_KONTR_NUM_GT_100K,F9_05_NUM_EMPL,F9_07_COMP_DTK_NUM_GT_100K,F9_10_ASSET_CASH_EOY,F9_10_ASSET_NOTE_LOAN_NET_EOY,F9_09_EXP_OCCUPANCY_TOT,F9_09_EXP_OFFICE_TOT,F9_10_ASSET_OTH_EOY,F9_09_EXP_OTH_EMPL_BEN_TOT,F9_09_EXP_OTH_TOT,F9_09_EXP_OTH_TOT_2,F9_09_EXP_OTH_TOT_3,F9_09_EXP_OTH_TOT_4,SA_02_TOT_INCOME_OTH_TOT,SA_03_TOT_INCOME_OTH_TOT,F9_10_LIAB_OTH_EOY,F9_10_NAFB_CAP_SURPLUS_EOY,F9_10_LIAB_LOAN_OFF_EOY,F9_09_EXP_PENSION_CONTR_TOT,F9_10_NAFB_RESTRICT_PERM_EOY,F9_10_ASSET_PLEDGE_NET_EOY,F9_10_ASSET_EXP_PREPAID_EOY,SA_02_PUB_SUPPORT_TOT,SA_03_PUB_SUPPORT_TOT,SA_02_PUB_TOT_L123_TOT,SA_03_PUB_TOT_L1_5_TOT,F9_09_EXP_PAY_AFFIL_TOT,F9_05_501C29_RESERVE_MAINT_AMT,F9_10_ASSET_LOAN_DSQ_PERS_EOY,SA_03_PUB_AMT_PERS_DSQ_TOT,F9_08_REV_OTH_RENT_LESS_EXP_PERS,F9_08_REV_OTH_RENT_LESS_EXP_REAL,F9_08_REV_OTH_RENT_INCOME_PERS,F9_08_REV_OTH_RENT_INCOME_REAL,F9_09_EXP_ROY_TOT,F9_08_REV_OTH_ROY_TOT,SA_02_TOT_AMT_L4_CY_TOT,SA_03_TOT_AMT_L6_TOT,SA_02_PUB_VALUE_SVC_GOVT_TOT,SA_03_PUB_VALUE_SVC_GOVT_TOT,SA_03_PUB_ADD_L7AB_TOT,SA_03_TOT_ADD_L10AB_TOT,F9_10_ASSET_SAVING_EOY,F9_00_TAX_PERIOD_END_DATE,F9_10_NAFB_RESTRICT_TEMP_EOY,SA_03_PUB_GIFT_GRANT_CONTR_TOT,F9_10_NAFB_TOT_LIAB_NAFB_EOY,SA_01_PCSTAT_SUPPORT_ORG_NUM,F9_08_REV_PROG_TOT,F9_08_REV_PROG_TOT_2,F9_08_REV_PROG_TOT_3,F9_08_REV_PROG_TOT_4,F9_08_REV_PROG_TOT_5,F9_08_REV_PROG_OTH_TOT,SA_02_TOT_SUPPORT_TOT,SA_03_TOT_SUPPORT_TOT,F9_09_EXP_TRAVEL_TOT,F9_09_EXP_TRAVEL_ENTMT_TOT,F9_08_REV_OTH_INVEST_BOND_TOT,SA_02_PUB_TAXREV_LEVIED_TOT,SA_03_PUB_TAXREV_LEVIED_TOT,SA_03_TOT_INCOME_UBIZ_TOT,F9_10_NAFB_UNRESTRICT_EOY,F9_10_LIAB_NOTE_UNSEC_EOY,TAX_YEAR,F9_00_TAX_YEAR,F9_10_ASSET_LAND_BLDG_NET_EOY,F9_00_TAX_PERIOD_BEGIN_DATE,F9_07_COMP_DTK_COMP_RLTD,F9_07_COMP_DTK_COMP_OTH,F9_07_COMP_DTK_COMP_ORG,SA_01_PCSTAT_ORG_AMT_SUPPORT_TOT,GEO_ZIP5,F9_03_PROG_CODE,F9_03_PROG_CODE_2,F9_03_PROG_CODE_3,F9_00_EXEMPT_STAT_501C3_X,F9_08_REV_MISC_OTH_RLTD,F9_08_REV_MISC_OTH_UBIZ,F9_08_REV_MISC_OTH_EXCL,F9_09_EXP_OTH_TOT_5,F9_09_EXP_OTH_TOT_6,F9_08_REV_PROG_DESC,F9_08_REV_PROG_DESC_2,F9_08_REV_PROG_DESC_3,F9_08_REV_PROG_DESC_4,F9_08_REV_PROG_DESC_5,DUP_RTRN_X,Percent_Unhealthy_Days
ABERDEEN,SD,111118.0,1321022,549234.0,88955.0,0,1011029.0,93413.0,43021.0,0.0,729861.0,1059595.0,9037529730,0.0,1160594.0,200947,134,0,61323.0,0.0,63662.0,435296,0,36264908,231641.0,333770.0,200.0,0.0,1972006.0,435597,300032.0,544733.0,9225.0,0,176538,54551994,985676,0,266142.0,30756,177083.0,5717.0,326507.0,105658.0,29069649,670728,118923.0,138924.0,260707.0,3285,2522712.0,0.0,0.0,113013.0,284026.0,5940.0,0.0,0.0,6,502,1,1465386.0,3649721,1274432.0,417713,281996,1411231.0,33679438,539571,197950,149054.0,742568.0,116286.0,18774,0,0.0,139047.0,0.0,606434.0,274359.0,36063961,56411119,36264908,57661214,3892.0,0,0.0,89501.0,0,38763.0,0,227379.0,23152.0,0.0,36264908,57661214,0.0,0.0,1250095.0,300032.0,15599760,3836791,1612136.0,2932682.0,79413238,5,38763065,1815514,762516,320561.0,211507.0,102448,37443073,58077532,210778.0,0,0,0.0,0,0.0,861118.0,0,38361,38366.0,27015673.0,383656.0,206780.0,101762.0,718080.0,1386287.0,1090629.0,5762.0,1254.0,1232.0,279.0,7190.0,0.0,0.0,0.0,216401.0,5879135.0,3468028.0,1856720.0,1335520.0,1332720.0,0,0.0
ADRIAN,MI,104228.0,1859563,1171875.0,205066.0,0,0.0,141084.0,83327.0,0.0,386993.0,1059220.0,10039789471,3119104.0,0.0,985675,160,1,58189.0,2190.0,127206.0,131430,6,25416713,1173586.0,523594.0,1106000.0,120000.0,2139165.0,2055749,468676.0,757885.0,0.0,0,4737,37562305,29632209,0,135053.0,117109,368401.0,145670.0,246931.0,199841.0,36970009,5357664,148331.0,7250.0,237616.0,0,3421607.0,1621409.0,0.0,442182.0,520269.0,0.0,565090.0,20334.0,0,1019,4,2141235.0,0,1582143.0,602883,1262560,1295706.0,3912380,519805,290006,212394.0,841099.0,357137.0,1206932,0,372677.0,126971.0,0.0,1274133.0,223393.0,24465259,60282571,25450934,60455241,118823.0,0,0.0,172670.0,0,0.0,0,135053.0,111937.0,0.0,25450934,60455241,34221.0,0.0,172670.0,468676.0,2045934,5048364,0.0,22888199.0,71303519,2,13311175,3621288,605377,0.0,0.0,0,28912872,61301388,458545.0,0,0,0.0,0,0.0,0.0,2010701,50475,50481.0,20362875.0,504804.0,0.0,44458.0,809664.0,150406.0,1230525.0,6629.0,2129.0,910.0,353.0,35702.0,7626.0,2928.0,0.0,617965.0,1352099.0,453310.0,0.0,0.0,0.0,0,0.0
AKRON,OH,2430326.0,252038147,309832401.0,13097537.0,49814,-4147503.0,313267.0,3259487.0,2900.0,8133723.0,121789873.0,49984434655,1508194.0,27309313.0,32836618,2159,0,1671985.0,151999.0,4550997.0,155958451,1,858192617,9650303.0,4634503.0,924144.0,8925.0,23860200.0,35183614,2675993.0,3264370.0,1979726.0,0,953051,370526391,336075303,6241,7848902.0,12919672,13517819.0,2349229.0,32535122.0,31244257.0,1077102144,22438951,17399448.0,1923691.0,2405065.0,1782258,35188610.0,5652331.0,2869308.0,17613393.0,859305.0,197468.0,2837982.0,2505405.0,113,23287,1474,47063258.0,34862912,47227659.0,30673311,880593210,141342933.0,331770894,179805947,66128354,21514089.0,14575551.0,1247642.0,633971466,3200000,900810.0,36985583.0,0.0,29643306.0,28832895.0,872472606,422776169,905309224,451633946,494620.0,0,0.0,1548464.0,0,8687766.0,6241,-838864.0,0.0,5203.0,905309224,451633946,1666855.0,10000.0,28857777.0,3287050.0,92947527,26653037,0.0,80144504.0,4037986406,16,1385105112,560565050,247291210,11475389.0,11288317.0,19671618,957906371,458674043,7508110.0,0,877359,45449752.0,0,611057.0,0.0,83354197,266508,266515.0,1463673968.0,2665143.0,35306931.0,10324307.0,40659066.0,2526387.0,5848850.0,26597.0,9300.0,3396.0,1864.0,4164621.0,2495450.0,11533005.0,0.0,30154689.0,49531798.0,35931724.0,22863800.0,12503044.0,7547137.0,2,0.8241758241758242
ALBANY,GA,249186.0,2728453,467819.0,251864.0,189257,0.0,217312.0,348785.0,0.0,100852.0,1361392.0,17484569514,16835.0,0.0,678944,211,0,28862.0,4500.0,566418.0,329374,1,29784962,52161.0,657981.0,0.0,0.0,871254.0,920948,4829.0,115286.0,22400.0,0,0,7242359,10277313,0,397589.0,308457,505385.0,158137.0,3679155.0,177611.0,9342647,470000,0.0,144575.0,90467.0,10406,3231407.0,900099.0,0.0,2385231.0,24819.0,11994.0,58583.0,0.0,1,494,2,5734687.0,945,1628409.0,1119375,61345148,816609.0,946760,718538,308639,713831.0,1054874.0,527.0,3632308,0,0.0,169026.0,0.0,956611.0,89494.0,29106018,19414359,29784962,19414359,96787.0,0,0.0,0.0,0,462027.0,0,-64438.0,0.0,0.0,29784962,19414359,0.0,0.0,0.0,4829.0,13993968,7269960,0.0,12172000.0,121871549,8,11885051,1958277,147182,63031.0,53250.0,241768,31819367,19419715,148887.0,0,0,0.0,0,0.0,0.0,951239,72684,72696.0,29134482.0,726948.0,586995.0,52265.0,1110835.0,687604.0,1141401.0,5321.0,1928.0,59.0,527.0,27398.0,2197.0,827.0,0.0,915896.0,5241838.0,3106929.0,611710.0,611710.0,611710.0,0,0.5547850208044383
ALBUQUERQUE,NM,5536128.0,218285933,226995405.0,6364134.0,234795,3201271.0,1892207.0,4692428.0,106509.0,10031253.0,120246371.0,184418693552,2094355.0,9218066.0,74326533,5907,1,4895136.0,415007.0,4350519.0,271765560,2,742648422,3416104.0,16356814.0,4610558.0,5782006.0,22023007.0,24828295,6593374.0,6233706.0,68640.0,0,6213762,346243288,203685865,75563,5671701.0,68840867,73792129.0,500692.0,37335237.0,25593515.0,1989005930,437120720,58362257.0,8144271.0,3796405.0,20590,44366523.0,8230465.0,6538446.0,28039434.0,2437301.0,48050.0,1832467.0,735906.0,404,21515,1943,93617581.0,140284585,30756394.0,22242116,466333901,150401140.0,401017241,41058405,23233713,5305525.0,4941965.0,569626.0,665628231,0,927480.0,45791588.0,0.0,20478425.0,38271534.0,669269057,532887053,743595590,547874200,1610846.0,0,1561699.0,5769081.0,79985,2142050.0,-4422,3529651.0,197624.0,791849.0,743595590,547874200,947168.0,95005.0,14987147.0,6619189.0,196310706,56945630,357062.0,195322145.0,4911328541,22,1206137416,895128698,15513011,8589648.0,3696527.0,13400639,775198317,555798921,11450122.0,26554,325036,0.0,0,25815.0,1723850.0,43458687,569358,569427.0,1216785082.0,5694201.0,12363516.0,6354901.0,41091074.0,6196193.0,24570245.0,48260.0,21309.0,6557.0,3911.0,1179612.0,389520.0,1620765.0,53970.0,9741239.0,97952369.0,53744325.0,30362721.0,14589568.0,8749168.0,0,1.095890410958904
ALEXANDRIA,LA,196932.0,1214986,1402022.0,1107984.0,0,0.0,0.0,234556.0,0.0,142315.0,833163.0,16839408286,26596.0,0.0,446843,347,0,0.0,0.0,672.0,317201,7,46689224,6472360.0,121269.0,5013111.0,0.0,8328584.0,801920,2700.0,551856.0,71440.0,0,0,5310570,2809289,0,39697.0,331525,487766.0,0.0,30784.0,370377.0,267371070,985918,39712541.0,65090.0,145722.0,49885,3411407.0,561000.0,0.0,450996.0,406134.0,21555.0,77191.0,0.0,13,547,10,11825289.0,1054636,584001.0,375998,401109,662595.0,5011110,1295349,516403,294908.0,448144.0,221923.0,846560,170615,65064.0,300776.0,0.0,1589157.0,263861.0,46242381,10589824,46689224,10589824,23088.0,0,0.0,0.0,0,0.0,0,39697.0,0.0,0.0,46689224,10589824,0.0,0.0,0.0,2700.0,1032523,5654003,0.0,5279254.0,339514232,3,4253419,415054,133908,56791.0,36816.0,5198932,48016479,10814447,367653.0,670,0,0.0,0,0.0,95514.0,582607,56532,56537.0,13505729.0,565365.0,2467500.0,617446.0,2143736.0,60200.0,1996496.0,5297.0,1679.0,708.0,372.0,797.0,0.0,0.0,0.0,1115696.0,4869078.0,2673550.0,711110.0,0.0,453220.0,0,0.0
ALTOONA,PA,209904.0,5935321,18934638.0,351178.0,7199,0.0,0.0,89416.0,0.0,11289535.0,8315637.0,14943016493,12744.0,0.0,5987012,266,0,84141.0,535.0,372415.0,2246603,19,77417020,541548.0,2470483.0,453.0,0.0,8255550.0,5808057,4044690.0,1215296.0,393698.0,0,3081013,132471604,5536896,0,7806371.0,199065,901307.0,418411.0,1215159.0,365174.0,45792659,9441089,474913.0,61681.0,467285.0,302260,15449770.0,8560156.0,3480298.0,1403105.0,748011.0,91438.0,0.0,0.0,5,1208,4,22546906.0,108168,3295127.0,1440549,7370801,3453576.0,9978896,4196199,1357011,1060242.0,3196079.0,1036829.0,20456301,0,0.0,414197.0,0.0,574879.0,1146424.0,71430008,170292481,77417020,170292481,0.0,0,0.0,0.0,0,5254880.0,0,2551491.0,0.0,383.0,77417020,170292481,0.0,0.0,0.0,4044690.0,6417135,9491095,0.0,34541336.0,331750150,1,28020319,6519873,654204,193117.0,20829.0,80938,86421156,175374000,328158.0,0,0,0.0,198528,0.0,0.0,80476,94893,94906.0,218158953.0,949047.0,657552.0,283670.0,1351657.0,0.0,780294.0,11888.0,4555.0,1539.0,628.0,268346.0,43523.0,11295.0,0.0,1911613.0,15137687.0,10844067.0,5258768.0,2423198.0,1800198.0,0,0.0
AMARILLO,TX,754876.0,7168709,4548014.0,971529.0,1094802,3941503.0,1577674.0,354268.0,0.0,692251.0,8894656.0,64800722121,77471.0,646807.0,31593515,789,0,3606284.0,0.0,1275834.0,4459682,0,324547762,25154672.0,16673195.0,1073636.0,588990.0,22569330.0,14954432,6955277.0,2643355.0,0.0,0,3057151,126643705,58710244,0,395929.0,865768,2701441.0,553891.0,1490987.0,5639665.0,727503021,76381312,1395806.0,443451.0,1655506.0,0,26482258.0,6333625.0,3072328.0,2741853.0,987849.0,0.0,129400.0,190364.0,33,2216,24,21007492.0,76545163,2539658.0,1374779,27533292,6320954.0,30275560,5565892,2713242,1755845.0,6317638.0,431737.0,106826250,2472229,116258.0,942636.0,202151.0,1810261.0,867803.0,293014771,188302363,324608286,215375780,409501.0,0,0.0,26426610.0,0,193125.0,0,202804.0,21917.0,374861.0,324608286,215375780,0.0,0.0,27073417.0,6955277.0,48661911,20192023,0.0,85674924.0,1171837081,25,51420368,3628966,1770947,306193.0,601138.0,545550,346009756,222953158,946470.0,0,23046,60524.0,0,0.0,733594.0,789807,201900,201909.0,182510935.0,2019081.0,7231568.0,1158295.0,5955119.0,7162399.0,7911228.0,16959.0,7910.0,2181.0,1391.0,650489.0,14804.0,74699.0,0.0,1967254.0,21910956.0,10136875.0,5742838.0,3793239.0,2557419.0,0,0.547945205479452
AMERICUS,GA,35871.0,194528,97902.0,81389.0,139327,0.0,0.0,5451.0,0.0,1313710.0,169937.0,3271123501,0.0,0.0,1001425,50,0,58214.0,0.0,48901.0,44337,0,23755359,13203.0,0.0,0.0,0.0,28180.0,950216,0.0,0.0,0.0,0,0,2628061,1150705,0,72800.0,5127,202252.0,0.0,15008.0,86777.0,10497103,0,0.0,29180.0,0.0,0,0.0,0.0,0.0,4422.0,0.0,0.0,0.0,0.0,0,148,1,4131883.0,393854,577880.0,78681,904594,4695.0,3029573,387341,253212,285944.0,0.0,0.0,0,0,0.0,54966.0,0.0,121339.0,0.0,22777934,3927613,23779359,3927613,5000.0,0,0.0,0.0,0,0.0,0,72800.0,0.0,1731.0,23779359,3927613,24000.0,0.0,0.0,0.0,2646954,1413762,0.0,1299552.0,25201266,0,3987446,304800,80331,38037.0,0.0,0,24729575,3927613,44129.0,0,0,0.0,0,0.0,0.0,383500,14133,14137.0,6320860.0,141366.0,0.0,3737.0,322143.0,0.0,221983.0,2003.0,927.0,0.0,95.0,2533.0,801.0,0.0,0.0,782552.0,230000.0,230000.0,522291.0,0.0,0.0,0,0.0
ANCHORAGE,AK,1681986.0,13241442,5394060.0,1960417.0,16812,637420.0,1028219.0,883430.0,0.0,14279229.0,11589830.0,119448773874,121567.0,1184068.0,67840741,1475,0,618983.0,83078.0,828577.0,12221064,2,524329271,6333480.0,2788666.0,3243332.0,39638.0,28670233.0,30937278,1591134.0,3899029.0,16833169.0,0,11413591,102698691,176132871,260514,7277177.0,2583614,3176569.0,453836.0,4187760.0,2039645.0,126381025,18197005,120262131.0,250140.0,2234249.0,15392149,24290772.0,7452245.0,2426709.0,1323521.0,1664780.0,1441020.0,3103509.0,1251934.0,22,3306,49,30567988.0,35498535,14315462.0,4189438,28680662,7957949.0,20976891,8420990,4042096,2496449.0,6806358.0,1653241.0,14485553,651420,48000.0,1674833.0,0.0,10242672.0,2180450.0,471546687,173993469,539387428,177356333,409333.0,0,0.0,2178796.0,103251,372909.0,157263,6904268.0,11469.0,952.0,539387428,177356333,15019597.0,0.0,3362864.0,1591134.0,43914726,32711715,2044783.0,63244051.0,710926571,7,57178532,7754275,11479234,630858.0,330156.0,281842,580234573,181852642,5255657.0,0,0,38560.0,0,0.0,0.0,61036360,327078,327099.0,287113837.0,3270969.0,2999487.0,1817307.0,11377266.0,2837747.0,16120572.0,31332.0,11130.0,5143.0,2351.0,505206.0,16299.0,645.0,0.0,5194745.0,52404400.0,20574743.0,9135958.0,6938043.0,1273190.0,0,3.287671232876712
