City,State,Total_Rev_Prog_Desc
AARONSBURG,PA,900099.0
ABBEVILLE,LA,611600.0
ABBEVILLE,SC,900099.0
ABERDEEN,MS,624410.0
ABERDEEN,NC,623990.0
ABERDEEN,NJ,611710.0
ABERDEEN,SD,5879135.0
ABERDEEN,WA,3660308.0
ABILENE,KS,2411628.0
ABILENE,TX,15153585.0
ABINGDON,MD,1354700.0
ABINGDON,VA,2655750.0
ABINGTON,MA,721214.0
ABIQUIU,NM,713990.0
ABITA SPRINGS,LA,900099.0
ABRAMS,WI,711219.0
ABSECON,NJ,1758800.0
ACCOKEEK,MD,1800198.0
ACCORD,MA,900099.0
ACCORD,NY,900099.0
ACKLEY,IA,623000.0
ACME,MI,713990.0
ACTON,CA,900099.0
ACTON,MA,4688479.0
ACWORTH,GA,8813038.0
ADA,MI,2662312.0
ADA,OH,611710.0
ADA,OK,2938280.0
ADAIRSVILLE,GA,624190.0
ADAMANT,VT,611600.0
ADAMS,MN,624310.0
ADAMS,WI,531110.0
ADAMSTOWN,MD,900099.0
ADDISON,IL,2424621.0
ADDISON,PA,900099.0
ADDISON,TX,8141626.0
ADELPHIA,NJ,611600.0
ADKINS,TX,110000.0
ADRIAN,MI,1352099.0
ADVANCE,NC,621110.0
AFTON,MN,900099.0
AFTON,OK,621400.0
AFTON,VA,900099.0
AFTON,WY,624310.0
AGAWAM,MA,541990.0
AGOURA,CA,900099.0
AGOURA HILLS,CA,3747218.0
AGUA DULCE,CA,900099.0
AGUADILLA,PR,611000.0
AIEA,HI,3484910.0
AIKEN,SC,14455886.0
AIRMONT,NY,1511809.0
AITKIN,MN,1962339.0
AJO,AZ,641390.0
AKRON,IA,624410.0
AKRON,NY,900099.0
AKRON,OH,49531798.0
AKRON,PA,900099.0
ALABASTER,AL,4232118.0
ALACHUA,FL,2565399.0
ALAMEDA,CA,12558553.0
ALAMO,CA,2325919.0
ALAMO,TX,611710.0
ALAMOGORDO,NM,1167300.0
ALAMOSA,CO,2747509.0
ALBANY,CA,1664210.0
ALBANY,GA,5241838.0
ALBANY,IN,621910.0
ALBANY,KY,1614039.0
ALBANY,MN,711210.0
ALBANY,MO,900099.0
ALBANY,NY,74815287.0
ALBANY,OR,3323810.0
ALBANY,TX,621400.0
ALBEMARLE,NC,2858499.0
ALBERT LEA,MN,2319298.0
ALBERTSON,NY,611600.0
ALBERTVILLE,AL,2133309.0
ALBIA,IA,541900.0
ALBION,IN,1524199.0
ALBION,ME,531110.0
ALBION,MI,2862708.0
ALBION,NE,713940.0
ALBION,NY,4598829.0
ALBION,PA,110000.0
ALBION,RI,900099.0
ALBRIGHTSVILLE,PA,611710.0
ALBUQUERQUE,NM,97952369.0
ALBURNETT,IA,900099.0
ALBURTIS,PA,999999.0
ALCESTER,SD,110000.0
ALCOA,TN,900099.0
ALDEN,NY,624200.0
ALDERSON,WV,111000.0
ALDIE,VA,3238031.0
ALEDO,IL,611710.0
ALEDO,TX,900099.0
ALEX BAY,NY,2964998.0
ALEX CITY,AL,1800198.0
ALEXANDER,NC,611710.0
ALEXANDRIA,LA,4869078.0
ALEXANDRIA,MN,9597126.0
ALEXANDRIA,VA,186758526.0
ALFRED,ME,531110.0
ALFRED STATION,NY,807200.0
ALGOMA,WI,1248620.0
ALGONA,IA,1337980.0
ALGONQUIN,IL,1222860.0
ALHAMBRA,CA,4539139.0
ALICE,TX,1155210.0
ALIQUIPPA,PA,2411908.0
ALISO VIEJO,CA,5159137.0
ALLEGAN,MI,2424188.0
ALLEGANY,NY,1632914.0
ALLEN,TX,4993849.0
ALLENDALE,MI,900099.0
ALLENDALE,NJ,1334214.0
ALLENHURST,NJ,711300.0
ALLENTOWN,NJ,3542398.0
ALLENTOWN,PA,18227950.0
ALLIANCE,NE,485000.0
ALLIANCE,OH,4019940.0
ALLISON PARK,PA,2868509.0
ALLSTON,MA,1524509.0
ALMA,MI,621110.0
ALMA,NE,624210.0
ALMA,WI,531110.0
ALMENA,KS,624410.0
