EIN2,F9_00_ORG_NAME_L1,F9_00_ORG_ADDR_CITY,F9_00_ORG_ADDR_STATE,F9_08_REV_PROG_DESC
EIN-01-0133442,OXFORD COUNTY AGRICULTURAL SOCIETY,NORWAY,ME,611710.0
EIN-01-0145133,PROUTS NECK ASSOCIATION,SCARBOROUGH,ME,900099.0
EIN-01-0180531,WEST OXFORD AGRICULTURAL SOCIETY,FRYEBURG,ME,110000.0
EIN-01-0186800,YOUNG MENS CHRISTIAN ASSOCIATION STATE OF MAINE,WINTHROP,ME,585334.0
EIN-01-0211476,THE CHAPMAN HOUSE,AUBURN,ME,623990.0
EIN-01-0211488,TRUSTEES OF BLOOMFIELD ACADEMY,SKOWHEGAN,ME,453000.0
EIN-01-0211489,BOY SCOUTS OF AMERICA,BANGOR,ME,611710.0
EIN-01-0211490,BOY SCOUTS OF AMERICA,RAYMOND,ME,900099.0
EIN-01-0211502,EASTPORT PUBLIC LIBRARY ASSOCIATION,EASTPORT,ME,519100.0
EIN-01-0211513,JACKSON LABORATORY,BAR HARBOR,ME,541700.0
EIN-01-0211539,PATTEN FREE LIBRARY,BATH,ME,451211.0
EIN-01-0211546,COMMUNITY HEALTH & NURSING SERVICES,BRUNSWICK,ME,621610.0
EIN-01-0211551,ST MARYS REGIONAL MEDICAL CENTER,LEWISTON,ME,621300.0
EIN-01-0211564,UNITED WAY OF ANDROSCOGGIN COUNTY INC,LEWISTON,ME,624200.0
EIN-01-0211567,YOUNG MENS CHRISTIAN ASSOCIATION AUBURN-LEWISTON MAINE,AUBURN,ME,624410.0
EIN-01-0211783,CALAIS REGIONAL HOSPITAL,CALAIS,ME,622110.0
EIN-01-0211791,SEVENTY-FIVE STATE STREET,PORTLAND,ME,623990.0
EIN-01-0211798,MOUNT DESERT NURSING ASSOCIATION,NE HARBOR,ME,621610.0
EIN-01-0211812,BATH AREA FAMILY YMCA,BATH,ME,713940.0
EIN-01-0211813,PENOBSCOT BAY YMCA,ROCKPORT,ME,900099.0
EIN-01-0211814,YOUNG MENS CHRISTIAN ASSOCIATION SANFORD-SPRINGVALE,SANFORD,ME,624100.0
EIN-01-0212435,ST JOSEPH HOSPITAL,BANGOR,ME,621110.0
EIN-01-0212442,PINE TREE SOCIETY INC,BATH,ME,624100.0
EIN-01-0212444,YORK HOSPITAL,YORK,ME,621400.0
EIN-01-0212541,ANIMAL REFUGE LEAGUE OF GREATER PORTLAND,WESTBROOK,ME,900099.0
EIN-01-0216837,MAINE SEACOAST MISSION,NORTHEAST HARBOR,ME,624110.0
EIN-01-0220091,NORTHEAST HARBOR LIBRARY,NE HARBOR,ME,900099.0
EIN-01-0221126,CASTINE COMMUNITY HOSPITAL,CASTINE,ME,531120.0
EIN-01-0224718,CUMBERLAND FARMERS CLUB,CUMBERLAND,ME,110000.0
EIN-01-0227184,ANDROSCOGGIN HOME HEALTH SERVICES INC,LEWISTON,ME,621610.0
EIN-01-0238760,BRICK STORE MUSEUM,KENNEBUNK,ME,900099.0
EIN-01-0239808,LINCOLN COUNTY HISTORICAL ASSOCIATION,WISCASSET,ME,712110.0
EIN-01-0243548,HAYSTACK MOUNTAIN SCHOOL OF CRAFTS,DEER ISLE,ME,611600.0
EIN-01-0244457,NEW ENGLAND ELECTRIC RAILWAY HISTORICAL SOCIETY,KENNEBUNKPORT,ME,900099.0
EIN-01-0245261,ERSKINE ACADEMY,SOUTH CHINA,ME,611600.0
EIN-01-0249865,WISCASSET PUBLIC LIBRARY,WISCASSET,ME,519110.0
EIN-01-0262323,NORTHERN MAINE GENERAL,EAGLE LAKE,ME,621990.0
EIN-01-0263198,DOWN EAST COMMUNITY HOSPITAL,MACHIAS,ME,621400.0
EIN-01-0265231,UPLIFT INC,GARDINER,ME,624100.0
EIN-01-0265648,NEW ENGLAND MUSIC CAMP ASSOCIATION,SIDNEY,ME,611600.0
EIN-01-0267159,NATIONAL SOCIETY OF COLONIAL DAMES,PORTLAND,ME,713990.0
EIN-01-0267492,PORTLAND CHEVRA KADISHA A MAINE NONPROFIT CORP - T13-B,PORTLAND,ME,900099.0
EIN-01-0267689,KATAHDIN FRIENDS INC,MILLINOCKET,ME,541900.0
EIN-01-0267877,KENNEBUNK BEACH IMPROVEMENT ASSOCIATION,KENNEBUNK,ME,713990.0
EIN-01-0271477,MAINE MARITIME MUSEUM,BATH,ME,900099.0
EIN-01-0272150,HARBOR HOUSE COMMUNITY SERVICE CENTER,SOUTHWEST HBR,ME,711300.0
EIN-01-0274725,THE OPPORTUNITY ALLIANCE,S PORTLAND,ME,624100.0
EIN-01-0274746,CENTRAL MAINE BIBLE CONFERENCE,BROOKS,ME,900099.0
EIN-01-0275875,MCH INC,ROCKLAND,ME,531110.0
EIN-01-0278440,UNITY VOLUNTEER AMBULANCE CORP,UNITY,ME,621910.0
EIN-01-0279387,PINE TREE LEGAL ASSISTANCE INC,PORTLAND,ME,900099.0
EIN-01-0282853,BANGOR HISTORICAL SOCIETY,BANGOR,ME,453220.0
EIN-01-0284340,GOODWILL INDUSTRIES OF NORTHERN NEW ENGLAND,GORHAM,ME,900099.0
EIN-01-0285920,EAST GRAND HEALTH CENTER INC,DANFORTH,ME,621110.0
EIN-01-0287022,THEATER AT MONMOUTH,MONMOUTH,ME,711110.0
EIN-01-0288480,THREE RIVERS AMBULANCE SERVICE,MILO,ME,621910.0
EIN-01-0314110,AMICUS,BANGOR,ME,561000.0
EIN-01-0315296,AVESTA HOUSING DEVELOPMENT CORPORATION,PORTLAND,ME,531110.0
EIN-01-0317232,UNITED SOCIETY OF SHAKERS,NEW GLOUCESTR,ME,611710.0
EIN-01-0317602,OCEANVIEW MANOR INC,OCEAN PARK,ME,531110.0
EIN-01-0317698,CALAIS METHODIST HOME INC,CALAIS,ME,531390.0
EIN-01-0321597,DIOCESAN BUREAU OF HOUSING DEERING PAVILION,PORTLAND,ME,531110.0
EIN-01-0329748,WALDOBORO PUBLIC LIBRARY,WALDOBORO,ME,900099.0
EIN-01-0339295,MAINE HUMANITIES COUNCIL,PORTLAND,ME,900099.0
EIN-01-0339631,BIDDEFORD YOUTH HOCKEY ASSOCIATION,BIDDEFORD,ME,713990.0
EIN-01-0340111,EAST MILLINOCKET HOUSING CORP,E MILLINOCKET,ME,531110.0
EIN-01-0340560,YARMOUTH SENIOR HOUSING INC,YARMOUTH,ME,532000.0
EIN-01-0342167,PHILLIPS-STRICKLAND HOUSE CORPORATION,BANGOR,ME,623000.0
EIN-01-0342399,ST ANDRE HEALTH CARE FACILITY,BIDDEFORD,ME,623000.0
EIN-01-0344891,FRANKLIN COUNTY ANIMAL SHELTER,FARMINGTON,ME,900099.0
EIN-01-0345195,SACOPEE RESCUE UNIT INC,PARSONSFIELD,ME,621910.0
EIN-01-0346944,FREEPORT HISTORICAL SOCIETY,FREEPORT,ME,900099.0
EIN-01-0347068,POLAND SPRING PRESERVATION SOCIETY,POLAND SPRING,ME,900099.0
EIN-01-0347202,HILL STREET TERRACE HOUSING CORP,PORTLAND,ME,531110.0
EIN-01-0347203,MAPLE GROVE ELDERLY HOUSING CORPORATION,PORTLAND,ME,531110.0
EIN-01-0353275,MARTINS POINT HEALTH CARE INC,PORTLAND,ME,524114.0
EIN-01-0353352,NEW MARBLEHEAD SENIORS HOUSING CORPORATION,PORTLAND,ME,531110.0
EIN-01-0354589,EASTPORT HEALTH CARE INC,EASTPORT,ME,621300.0
EIN-01-0355212,MAINE STATE MUSIC THEATRE,BRUNSWICK,ME,711110.0
EIN-01-0355563,MAINE DEVELOPMENT FOUNDATION,HALLOWELL,ME,541900.0
EIN-01-0355649,ST JOHN VALLEY ASSOCIATES INC,MADAWASKA,ME,624310.0
EIN-01-0355822,MAINE SPECIAL OLYMPICS,SOUTH PORTLAND,ME,711210.0
EIN-01-0355896,JOHN F MURPHY HOMES INC,AUBURN,ME,621610.0
EIN-01-0356422,MOOSEHEAD MARINE MUSEUM INC,GREENVILLE,ME,713990.0
EIN-01-0359948,HIRUNDO WILDLIFE TRUST,ORONO,ME,713990.0
EIN-01-0360077,NEW BEGINNINGS INC,LEWISTON,ME,623990.0
EIN-01-0363625,MAINE SOCIETY OF EYE PHYSICIANS & SURGEONS,MANCHESTER,ME,813212.0
EIN-01-0363879,PINEWOOD MANOR INC,OCEAN PARK,ME,531110.0
EIN-01-0365436,MAINE ASSOCIATION OF DIRECTORS OF SERVICES FOR CHILDREN WITH EXCEPTI,AUGUSTA,ME,611710.0
EIN-01-0366970,SHEEPSCOT VALLEY REGIONAL HEALTH CENTER,WINDSOR,ME,531390.0
