CITY,CBSA,Average_AQI
ABERDEEN,"Aberdeen, SD",29.120253164556964
ADJUNTAS,"Adjuntas, PR",28.846153846153847
ADRIAN,"Adrian, MI",45.237430167597765
AKRON,"Akron, OH",48.48626373626374
ALBANY,"Albany, GA",45.325936199722605
ALBANY-SCHENECTADY-TROY,"Albany-Schenectady-Troy, NY",42.342465753424655
ALBUQUERQUE,"Albuquerque, NM",57.66301369863014
ALEXANDRIA,"Alexandria, LA",38.865546218487395
ALLENTOWN-BETHLEHEM-EASTON,"Allentown-Bethlehem-Easton, PA-NJ",48.23561643835617
ALTOONA,"Altoona, PA",47.14772727272727
AMARILLO,"Amarillo, TX",44.69315068493151
AMERICUS,"Americus, GA",39.45378151260504
ANCHORAGE,"Anchorage, AK",43.26301369863014
ANN ARBOR,"Ann Arbor, MI",45.202739726027396
APPLETON,"Appleton, WI",42.26301369863014
ARDMORE,"Ardmore, OK",45.83835616438356
ARKADELPHIA,"Arkadelphia, AR",33.03661971830986
ASHEVILLE,"Asheville, NC",42.43835616438356
ASHTABULA,"Ashtabula, OH",40.885714285714286
ATHENS,"Athens, OH",37.22431865828092
ATHENS-CLARKE COUNTY,"Athens-Clarke County, GA",48.78082191780822
ATLANTA-SANDY SPRINGS-ROSWELL,"Atlanta-Sandy Springs-Roswell, GA",61.342465753424655
ATLANTIC CITY-HAMMONTON,"Atlantic City-Hammonton, NJ",42.26575342465753
AUGUSTA-RICHMOND COUNTY,"Augusta-Richmond County, GA-SC",51.6958904109589
AUGUSTA-WATERVILLE,"Augusta-Waterville, ME",26.030470914127424
AUSTIN-ROUND ROCK,"Austin-Round Rock, TX",50.895890410958906
BAKERSFIELD,"Bakersfield, CA",79.07123287671233
BALTIMORE-COLUMBIA-TOWSON,"Baltimore-Columbia-Towson, MD",54.62191780821918
BANGOR,"Bangor, ME",32.69613259668508
BARABOO,"Baraboo, WI",40.95616438356164
BARNSTABLE TOWN,"Barnstable Town, MA",37.14484679665738
BATON ROUGE,"Baton Rouge, LA",54.74246575342466
BAY CITY,"Bay City, MI",36.79430379746835
BEAUMONT-PORT ARTHUR,"Beaumont-Port Arthur, TX",51.36164383561644
BEAVER DAM,"Beaver Dam, WI",44.07945205479452
BELLINGHAM,"Bellingham, WA",29.168044077134986
BEMIDJI,"Bemidji, MN",30.207386363636363
BEND-REDMOND,"Bend-Redmond, OR",31.112328767123287
BENNINGTON,"Bennington, VT",38.035616438356165
BERLIN,"Berlin, NH-VT",37.95061728395062
BILLINGS,"Billings, MT",32.0958904109589
BIRMINGHAM-HOOVER,"Birmingham-Hoover, AL",59.78904109589041
BISHOP,"Bishop, CA",56.868493150684934
BISMARCK,"Bismarck, ND",41.16438356164384
BLACKSBURG-CHRISTIANSBURG-RADFORD,"Blacksburg-Christiansburg-Radford, VA",40.61046511627907
BLOOMINGTON,"Bloomington, IL",47.83768913342504
BOISE CITY,"Boise City, ID",51.868493150684934
BOSTON-CAMBRIDGE-NEWTON,"Boston-Cambridge-Newton, MA-NH",49.25479452054795
BOULDER,"Boulder, CO",53.50684931506849
BOWLING GREEN,"Bowling Green, KY",48.33424657534247
BOZEMAN,"Bozeman, MT",33.893150684931506
BRAINERD,"Brainerd, MN",33.09470752089136
BRANSON,"Branson, MO",26.95
BREMERTON-SILVERDALE,"Bremerton-Silverdale, WA",26.876470588235293
