City,State,Total_Rev_Prog_Desc,CBSA,CITY,Average_AQI
ABERDEEN,SD,5879135.0,"ABERDEEN, SD",ABERDEEN,29.120253164556964
ADRIAN,MI,1352099.0,"ADRIAN, MI",ADRIAN,45.237430167597765
AKRON,OH,49531798.0,"AKRON, OH",AKRON,48.48626373626374
ALBANY,GA,5241838.0,"ALBANY, GA",ALBANY,45.325936199722605
ALBUQUERQUE,NM,97952369.0,"ALBUQUERQUE, NM",ALBUQUERQUE,57.66301369863014
ALEXANDRIA,LA,4869078.0,"ALEXANDRIA, LA",ALEXANDRIA,38.865546218487395
ALTOONA,PA,15137687.0,"ALTOONA, PA",ALTOONA,47.14772727272727
AMARILLO,TX,21910956.0,"AMARILLO, TX",AMARILLO,44.69315068493151
AMERICUS,GA,230000.0,"AMERICUS, GA",AMERICUS,39.45378151260504
ANCHORAGE,AK,52404400.0,"ANCHORAGE, AK",ANCHORAGE,43.26301369863014
ANN ARBOR,MI,37769774.0,"ANN ARBOR, MI",ANN ARBOR,45.20273972602739
APPLETON,WI,23545104.0,"APPLETON, WI",APPLETON,42.26301369863014
ARDMORE,OK,3046023.0,"ARDMORE, OK",ARDMORE,45.83835616438356
ARKADELPHIA,AR,2598099.0,"ARKADELPHIA, AR",ARKADELPHIA,33.03661971830986
ASHEVILLE,NC,33476006.0,"ASHEVILLE, NC",ASHEVILLE,42.43835616438356
ASHTABULA,OH,7235058.0,"ASHTABULA, OH",ASHTABULA,40.885714285714286
ATHENS,OH,8108269.0,"ATHENS, OH",ATHENS,37.22431865828092
BAKERSFIELD,CA,21423381.0,"BAKERSFIELD, CA",BAKERSFIELD,79.07123287671233
BANGOR,ME,9417120.0,"BANGOR, ME",BANGOR,32.69613259668508
BARABOO,WI,2879431.0,"BARABOO, WI",BARABOO,40.95616438356164
BATON ROUGE,LA,56150518.0,"BATON ROUGE, LA",BATON ROUGE,54.74246575342466
BAY CITY,MI,16755382.0,"BAY CITY, MI",BAY CITY,36.79430379746835
BEAVER DAM,WI,1235100.0,"BEAVER DAM, WI",BEAVER DAM,44.07945205479452
BELLINGHAM,WA,30450216.0,"BELLINGHAM, WA",BELLINGHAM,29.168044077134983
BEMIDJI,MN,8974959.0,"BEMIDJI, MN",BEMIDJI,30.207386363636363
BENNINGTON,VT,1611209.0,"BENNINGTON, VT",BENNINGTON,38.035616438356165
BILLINGS,MT,22383362.0,"BILLINGS, MT",BILLINGS,32.0958904109589
BISHOP,CA,2860519.0,"BISHOP, CA",BISHOP,56.868493150684934
BISMARCK,ND,28997766.0,"BISMARCK, ND",BISMARCK,41.16438356164384
BLOOMINGTON,IL,8296224.0,"BLOOMINGTON, IL",BLOOMINGTON,47.83768913342504
BOULDER,CO,56245153.0,"BOULDER, CO",BOULDER,53.50684931506849
BOWLING GREEN,KY,6180578.0,"BOWLING GREEN, KY",BOWLING GREEN,48.33424657534247
BOZEMAN,MT,29462610.0,"BOZEMAN, MT",BOZEMAN,33.893150684931506
BRAINERD,MN,10396523.0,"BRAINERD, MN",BRAINERD,33.09470752089136
BRANSON,MO,8025107.0,"BRANSON, MO",BRANSON,26.95
BROOKINGS,SD,4478897.0,"BROOKINGS, SD",BROOKINGS,44.49315068493151
BRUNSWICK,GA,6513758.0,"BRUNSWICK, GA",BRUNSWICK,38.37275985663082
CADILLAC,MI,6863259.0,"CADILLAC, MI",CADILLAC,39.33424657534247
CAMBRIDGE,MD,1536800.0,"CAMBRIDGE, MD",CAMBRIDGE,43.88219178082192
CARSON CITY,NV,6077718.0,"CARSON CITY, NV",CARSON CITY,42.93424657534246
CASPER,WY,11326848.0,"CASPER, WY",CASPER,42.07142857142857
CEDAR CITY,UT,2211641.0,"CEDAR CITY, UT",CEDAR CITY,42.0027397260274
CEDAR RAPIDS,IA,35863274.0,"CEDAR RAPIDS, IA",CEDAR RAPIDS,45.96986301369863
CENTRALIA,WA,5271311.0,"CENTRALIA, WA",CENTRALIA,31.134246575342463
CHARLESTON,WV,38381616.0,"CHARLESTON, WV",CHARLESTON,41.92602739726028
CHARLOTTESVILLE,VA,4035920.0,"CHARLOTTESVILLE, VA",CHARLOTTESVILLE,39.219858156028366
CHEYENNE,WY,14489501.0,"CHEYENNE, WY",CHEYENNE,43.92602739726028
CHICO,CA,11491076.0,"CHICO, CA",CHICO,52.95342465753425
CLARKSBURG,WV,4282419.0,"CLARKSBURG, WV",CLARKSBURG,38.306306306306304
CLEARLAKE,CA,621110.0,"CLEARLAKE, CA",CLEARLAKE,31.988888888888887
CLINTON,IA,1523099.0,"CLINTON, IA",CLINTON,47.76373626373626
COLORADO SPRINGS,CO,22515759.0,"COLORADO SPRINGS, CO",COLORADO SPRINGS,48.635616438356166
COLUMBIA,MO,27899037.0,"COLUMBIA, MO",COLUMBIA,41.49180327868852
CONCORD,NH,24062200.0,"CONCORD, NH",CONCORD,35.266666666666666
COOKEVILLE,TN,11902719.0,"COOKEVILLE, TN",COOKEVILLE,33.61388888888889
COOS BAY,OR,4783008.0,"COOS BAY, OR",COOS BAY,27.88785046728972
CORNING,NY,11662066.0,"CORNING, NY",CORNING,38.40547945205479
CORPUS CHRISTI,TX,2052319.0,"CORPUS CHRISTI, TX",CORPUS CHRISTI,48.463013698630135
CORSICANA,TX,4520350.0,"CORSICANA, TX",CORSICANA,42.386740331491715
CORVALLIS,OR,14996652.0,"CORVALLIS, OR",CORVALLIS,28.2986301369863
CRESCENT CITY,CA,3408169.0,"CRESCENT CITY, CA",CRESCENT CITY,28.782258064516128
CULLOWHEE,NC,541800.0,"CULLOWHEE, NC",CULLOWHEE,35.42718446601942
DALTON,GA,4369230.0,"DALTON, GA",DALTON,40.405204460966544
DAYTON,OH,68749649.0,"DAYTON, OH",DAYTON,53.583561643835615
DECATUR,AL,1275866.0,"DECATUR, AL",DECATUR,46.34293552812071
DEMING,NM,900099.0,"DEMING, NM",DEMING,16.975069252077564
DICKINSON,ND,2055099.0,"DICKINSON, ND",DICKINSON,34.824657534246576
DODGE CITY,KS,5247929.0,"DODGE CITY, KS",DODGE CITY,16.81578947368421
DOTHAN,AL,5515898.0,"DOTHAN, AL",DOTHAN,38.253571428571426
DOUGLAS,GA,621990.0,"DOUGLAS, GA",DOUGLAS,36.97520661157025
DOVER,DE,14211436.0,"DOVER, DE",DOVER,45.945205479452056
DUBOIS,PA,5009538.0,"DUBOIS, PA",DUBOIS,33.721448467966574
DURANGO,CO,13103440.0,"DURANGO, CO",DURANGO,44.85479452054795
EAGLE PASS,TX,1945020.0,"EAGLE PASS, TX",EAGLE PASS,36.91150442477876
EAST STROUDSBURG,PA,611710.0,"EAST STROUDSBURG, PA",EAST STROUDSBURG,35.3810888252149
EAU CLAIRE,WI,21458079.0,"EAU CLAIRE, WI",EAU CLAIRE,41.035812672176306
EFFINGHAM,IL,1934160.0,"EFFINGHAM, IL",EFFINGHAM,40.43265306122449
EL CENTRO,CA,713940.0,"EL CENTRO, CA",EL CENTRO,64.78630136986301
EL DORADO,AR,7102406.0,"EL DORADO, AR",EL DORADO,44.95850622406639
EL PASO,TX,41127449.0,"EL PASO, TX",EL PASO,60.75068493150685
ELKO,NV,1620520.0,"ELKO, NV",ELKO,16.926027397260274
ELLENSBURG,WA,5402647.0,"ELLENSBURG, WA",ELLENSBURG,34.6986301369863
EMPORIA,KS,7763007.0,"EMPORIA, KS",EMPORIA,29.88135593220339
ERIE,PA,26931921.0,"ERIE, PA",ERIE,41.51373626373626
EUGENE,OR,19302223.0,"EUGENE, OR",EUGENE,48.775342465753425
EVANSTON,WY,1153590.0,"EVANSTON, WY",EVANSTON,44.57808219178082
FAIRBANKS,AK,14560459.0,"FAIRBANKS, AK",FAIRBANKS,59.25479452054795
FAIRMONT,WV,8215005.0,"FAIRMONT, WV",FAIRMONT,39.494949494949495
FALLON,NV,1335520.0,"FALLON, NV",FALLON,40.685552407932015
FARMINGTON,NM,8566478.0,"FARMINGTON, NM",FARMINGTON,55.06301369863014
FAYETTEVILLE,NC,10659690.0,"FAYETTEVILLE, NC",FAYETTEVILLE,43.29201101928375
FLAGSTAFF,AZ,14012686.0,"FLAGSTAFF, AZ",FLAGSTAFF,47.32054794520547
FLINT,MI,19545100.0,"FLINT, MI",FLINT,42.61470588235294
FLORENCE,SC,11310544.0,"FLORENCE, SC",FLORENCE,41.82872928176795
FOND DU LAC,WI,13660426.0,"FOND DU LAC, WI",FOND DU LAC,36.35643564356435
FORT COLLINS,CO,31313412.0,"FORT COLLINS, CO",FORT COLLINS,55.397260273972606
FORT PAYNE,AL,1777600.0,"FORT PAYNE, AL",FORT PAYNE,40.800554016620495
FORT WAYNE,IN,62675437.0,"FORT WAYNE, IN",FORT WAYNE,52.082191780821915
FRESNO,CA,54431126.0,"FRESNO, CA",FRESNO,71.58630136986301
GADSDEN,AL,5067949.0,"GADSDEN, AL",GADSDEN,43.666666666666664
GAINESVILLE,FL,21047476.0,"GAINESVILLE, FL",GAINESVILLE,43.16335227272727
GEORGETOWN,SC,5109647.0,"GEORGETOWN, SC",GEORGETOWN,15.543478260869565
GETTYSBURG,PA,8981908.0,"GETTYSBURG, PA",GETTYSBURG,45.78904109589041
GILLETTE,WY,4944406.0,"GILLETTE, WY",GILLETTE,41.63013698630137
GLENWOOD SPRINGS,CO,621610.0,"GLENWOOD SPRINGS, CO",GLENWOOD SPRINGS,51.484931506849314
GRAND ISLAND,NE,8408321.0,"GRAND ISLAND, NE",GRAND ISLAND,27.09278350515464
GRAND JUNCTION,CO,1333720.0,"GRAND JUNCTION, CO",GRAND JUNCTION,48.752747252747255
GRANTS PASS,OR,5514081.0,"GRANTS PASS, OR",GRANTS PASS,40.12054794520548
GREAT FALLS,MT,14701005.0,"GREAT FALLS, MT",GREAT FALLS,29.97245179063361
GREELEY,CO,9567802.0,"GREELEY, CO",GREELEY,55.942465753424656
GREEN BAY,WI,33062889.0,"GREEN BAY, WI",GREEN BAY,40.96952908587257
GREENVILLE,NC,8523529.0,"GREENVILLE, NC",GREENVILLE,40.25568181818182
HAILEY,ID,1159190.0,"HAILEY, ID",HAILEY,21.687898089171973
HAMMOND,LA,2400150.0,"HAMMOND, LA",HAMMOND,40.162393162393165
HARRISON,AR,9697717.0,"HARRISON, AR",HARRISON,36.942465753424656
HARRISONBURG,VA,14656227.0,"HARRISONBURG, VA",HARRISONBURG,35.843835616438355
HATTIESBURG,MS,8380448.0,"HATTIESBURG, MS",HATTIESBURG,44.76815642458101
HELENA,MT,24565241.0,"HELENA, MT",HELENA,46.93698630136986
HILO,HI,8752469.0,"HILO, HI",HILO,23.39178082191781
HOBBS,NM,3198729.0,"HOBBS, NM",HOBBS,49.83287671232877
HOLLAND,MI,5174281.0,"HOLLAND, MI",HOLLAND,41.93478260869565
HOT SPRINGS,AR,12267497.0,"HOT SPRINGS, AR",HOT SPRINGS,44.04132231404959
HOUGHTON,MI,2571810.0,"HOUGHTON, MI",HOUGHTON,14.52991452991453
HUNTINGTON,IN,3931022.0,"HUNTINGTON, IN",HUNTINGTON,32.14929577464789
HUNTSVILLE,AL,24203290.0,"HUNTSVILLE, AL",HUNTSVILLE,47.4404432132964
IDAHO FALLS,ID,4804669.0,"IDAHO FALLS, ID",IDAHO FALLS,44.08767123287672
INDIANA,PA,8645117.0,"INDIANA, PA",INDIANA,38.86571428571428
IOWA CITY,IA,15339085.0,"IOWA CITY, IA",IOWA CITY,45.59065934065934
ITHACA,NY,48506181.0,"ITHACA, NY",ITHACA,35.21067415730337
JACKSON,MS,47140545.0,"JACKSON, MS",JACKSON,43.93315018315018
JACKSONVILLE,FL,68438498.0,"JACKSONVILLE, FL",JACKSONVILLE,51.64657534246575
JASPER,IN,1248200.0,"JASPER, IN",JASPER,42.275
JEFFERSON CITY,MO,1431219.0,"JEFFERSON CITY, MO",JEFFERSON CITY,38.50612244897959
