CITY,STATE,Total_Rev_Prog_Desc,Percent_Unhealthy_Days
ABERDEEN,SD,5879135.0,0.0
ADRIAN,MI,1352099.0,0.0
AKRON,OH,49531798.0,0.8241758241758242
ALBANY,GA,5241838.0,0.5547850208044383
ALBUQUERQUE,NM,97952369.0,1.095890410958904
ALEXANDRIA,LA,4869078.0,0.0
ALTOONA,PA,15137687.0,0.0
AMARILLO,TX,21910956.0,0.547945205479452
AMERICUS,GA,230000.0,0.0
ANCHORAGE,AK,52404400.0,3.287671232876712
ANN ARBOR,MI,37769774.0,0.0
APPLETON,WI,23545104.0,0.547945205479452
ARDMORE,OK,3046023.0,0.0
ARKADELPHIA,AR,2598099.0,0.0
ASHEVILLE,NC,33476006.0,0.0
ASHTABULA,OH,7235058.0,0.4081632653061224
ATHENS,OH,8108269.0,0.0
BAKERSFIELD,CA,21423381.0,26.02739726027397
BANGOR,ME,9417120.0,0.0
BARABOO,WI,2879431.0,0.273972602739726
BATON ROUGE,LA,56150518.0,2.4657534246575343
BAY CITY,MI,16755382.0,0.0
BEAVER DAM,WI,1235100.0,0.273972602739726
BELLINGHAM,WA,30450216.0,0.0
BEMIDJI,MN,8974959.0,0.5681818181818182
BENNINGTON,VT,1611209.0,0.0
BILLINGS,MT,22383362.0,0.3424657534246575
BISHOP,CA,2860519.0,3.287671232876712
BISMARCK,ND,28997766.0,0.0
BLOOMINGTON,IL,8296224.0,0.0
BOULDER,CO,56245153.0,1.36986301369863
BOWLING GREEN,KY,6180578.0,0.0
BOZEMAN,MT,29462610.0,0.0
BRAINERD,MN,10396523.0,0.5571030640668524
BRANSON,MO,8025107.0,0.0
BROOKINGS,SD,4478897.0,1.36986301369863
BRUNSWICK,GA,6513758.0,0.0
CADILLAC,MI,6863259.0,0.0
CAMBRIDGE,MD,1536800.0,0.821917808219178
CARSON CITY,NV,6077718.0,0.0
CASPER,WY,11326848.0,0.0
CEDAR CITY,UT,2211641.0,0.0
CEDAR RAPIDS,IA,35863274.0,0.0
CENTRALIA,WA,5271311.0,0.0
CHARLESTON,WV,38381616.0,0.0
CHARLOTTESVILLE,VA,4035920.0,0.0
CHEYENNE,WY,14489501.0,0.0
CHICO,CA,11491076.0,1.36986301369863
CLARKSBURG,WV,4282419.0,0.0
CLEARLAKE,CA,621110.0,0.0
CLINTON,IA,1523099.0,0.0
COLORADO SPRINGS,CO,22515759.0,0.0
COLUMBIA,MO,27899037.0,0.0
CONCORD,NH,24062200.0,0.0
COOKEVILLE,TN,11902719.0,0.0
