F9_00_ORG_ADDR_CITY,F9_00_ORG_ADDR_STATE,CITY
BANGOR,ME,BANGOR
BRUNSWICK,ME,BRUNSWICK
LEWISTON,ME,LEWISTON
ROCKLAND,ME,ROCKLAND
GEORGETOWN,ME,GEORGETOWN
FARMINGTON,ME,FARMINGTON
GREENVILLE,ME,GREENVILLE
KANSAS CITY,MO,KANSAS CITY
MADISON,WI,MADISON
BISMARCK,ND,BISMARCK
ALEXANDRIA,VA,ALEXANDRIA
CONCORD,MA,CONCORD
LINCOLN,ME,LINCOLN
SAVANNAH,GA,SAVANNAH
COLUMBUS,OH,COLUMBUS
GREENVILLE,SC,GREENVILLE
BATON ROUGE,LA,BATON ROUGE
QUINCY,MA,QUINCY
CAMBRIDGE,MA,CAMBRIDGE
ROANOKE,VA,ROANOKE
TUPELO,MS,TUPELO
PITTSBURGH,PA,PITTSBURGH
DOVER,NH,DOVER
JASPER,GA,JASPER
MINOT,ND,MINOT
PORT ANGELES,WA,PORT ANGELES
NEW CASTLE,DE,NEW CASTLE
ROME,GA,ROME
WINCHESTER,OH,WINCHESTER
MEMPHIS,TN,MEMPHIS
ROCHESTER,NY,ROCHESTER
YAKIMA,WA,YAKIMA
CLEVELAND,OH,CLEVELAND
SOMERSET,NJ,SOMERSET
TRAVERSE CITY,MI,TRAVERSE CITY
CAMBRIDGE,NY,CAMBRIDGE
JACKSONVILLE,FL,JACKSONVILLE
ITHACA,NY,ITHACA
FRESNO,CA,FRESNO
WILMINGTON,DE,WILMINGTON
MONTGOMERY,WV,MONTGOMERY
MISSOULA,MT,MISSOULA
CINCINNATI,OH,CINCINNATI
OCALA,FL,OCALA
ANN ARBOR,MI,ANN ARBOR
SENECA,SC,SENECA
MIAMI,FL,MIAMI
FORT WAYNE,IN,FORT WAYNE
MERIDIAN,ID,MERIDIAN
MARIETTA,GA,MARIETTA
CHARLESTON,SC,CHARLESTON
DECATUR,GA,DECATUR
MADISON,NC,MADISON
GREELEY,CO,GREELEY
COLUMBUS,IN,COLUMBUS
SYRACUSE,OH,SYRACUSE
CONCORD,CA,CONCORD
TYLER,TX,TYLER
TUCSON,AZ,TUCSON
FAYETTEVILLE,GA,FAYETTEVILLE
EL PASO,TX,EL PASO
CHATTANOOGA,TN,CHATTANOOGA
RICHMOND,CA,RICHMOND
RENO,NV,RENO
PITTSFIELD,MA,PITTSFIELD
ALBUQUERQUE,NM,ALBUQUERQUE
DEMING,NM,DEMING
FLORENCE,MA,FLORENCE
COLUMBIA,MD,COLUMBIA
ANCHORAGE,AK,ANCHORAGE
TRENTON,ME,TRENTON
LANCASTER,NH,LANCASTER
LEBANON,NH,LEBANON
CONCORD,NH,CONCORD
PORTSMOUTH,NH,PORTSMOUTH
KEENE,NH,KEENE
ROCHESTER,NH,ROCHESTER
BERLIN,NH,BERLIN
LACONIA,NH,LACONIA
SALEM,NH,SALEM
PITTSFIELD,NH,PITTSFIELD
LINCOLN,NH,LINCOLN
GREENVILLE,NH,GREENVILLE
WINCHESTER,NH,WINCHESTER
VALDOSTA,GA,VALDOSTA
WILMINGTON,NC,WILMINGTON
SALEM,AL,SALEM
SALEM,NY,SALEM
GRAND JUNCTION,CO,GRAND JUNCTION
DULUTH,GA,DULUTH
MEDFORD,NY,MEDFORD
ALBANY,NY,ALBANY
DAYTON,OH,DAYTON
SYRACUSE,NY,SYRACUSE
DAYTON,NV,DAYTON
GILLETTE,WY,GILLETTE
DALTON,GA,DALTON
FAYETTEVILLE,NC,FAYETTEVILLE
LAFAYETTE,LA,LAFAYETTE
ALBANY,GA,ALBANY
BOZEMAN,MT,BOZEMAN
DOTHAN,AL,DOTHAN
AKRON,OH,AKRON
MEDFORD,OR,MEDFORD
JUNEAU,AK,JUNEAU
OKLAHOMA CITY,OK,OKLAHOMA CITY
RALEIGH,NC,RALEIGH
BOWLING GREEN,KY,BOWLING GREEN
MEDFORD,NJ,MEDFORD
ALEXANDRIA,LA,ALEXANDRIA
SHERIDAN,WY,SHERIDAN
BILLINGS,MT,BILLINGS
LOS ALAMOS,NM,LOS ALAMOS
SPRINGFIELD,IL,SPRINGFIELD
SALISBURY,NC,SALISBURY
JACKSON,MS,JACKSON
MOUNT VERNON,OH,MOUNT VERNON
RICHMOND,VA,RICHMOND
HARRISONBURG,VA,HARRISONBURG
RUTLAND,VT,RUTLAND
BENNINGTON,VT,BENNINGTON
WATERTOWN,MA,WATERTOWN
SPRINGFIELD,VT,SPRINGFIELD
HUNTINGTON,VT,HUNTINGTON
WILLISTON,VT,WILLISTON
RICHMOND,VT,RICHMOND
SALISBURY,VT,SALISBURY
RUTLAND,OH,RUTLAND
WILMINGTON,VT,WILMINGTON
SANTA FE,NM,SANTA FE
ROCHESTER,VT,ROCHESTER
PAYSON,AZ,PAYSON
TALLAHASSEE,FL,TALLAHASSEE
JACKSON,WY,JACKSON
ROCKFORD,OH,ROCKFORD
COLUMBIA,SC,COLUMBIA
ROANOKE,TX,ROANOKE
COLUMBIA,MO,COLUMBIA
FAYETTEVILLE,AR,FAYETTEVILLE
TRENTON,NJ,TRENTON
KOKOMO,IN,KOKOMO
LEBANON,PA,LEBANON
HUNTSVILLE,TX,HUNTSVILLE
HUNTINGTON,WV,HUNTINGTON
ROME,NY,ROME
HAMMOND,IN,HAMMOND
SALEM,OH,SALEM
TORRINGTON,CT,TORRINGTON
FAYETTEVILLE,TN,FAYETTEVILLE
MADISON,TN,MADISON
FLORENCE,SC,FLORENCE
LINCOLN,CA,LINCOLN
GREENVILLE,TX,GREENVILLE
JACKSON,NJ,JACKSON
PUEBLO,CO,PUEBLO
SPRINGFIELD,MA,SPRINGFIELD
FLAGSTAFF,AZ,FLAGSTAFF
DALTON,MA,DALTON
WORCESTER,MA,WORCESTER
SALEM,MA,SALEM
LINCOLN,MA,LINCOLN
MEDFORD,MA,MEDFORD
RUTLAND,MA,RUTLAND
FLINT,MI,FLINT
WINCHESTER,MA,WINCHESTER
WILMINGTON,MA,WILMINGTON
LANCASTER,MA,LANCASTER
BANGOR,PA,BANGOR
READING,MA,READING
BOULDER,CO,BOULDER
RICHMOND,MA,RICHMOND
ROCKLAND,MA,ROCKLAND
SALISBURY,MA,SALISBURY
DOVER,MA,DOVER
ROCHESTER,MA,ROCHESTER
CLINTON,MA,CLINTON
TULSA,OK,TULSA
CLINTON,TN,CLINTON
ATHENS,GA,ATHENS
JOPLIN,MO,JOPLIN
MONROE,LA,MONROE
HUNTINGTON,NY,HUNTINGTON
DECATUR,TX,DECATUR
SANDPOINT,ID,SANDPOINT
SONORA,TX,SONORA
BLOOMINGTON,MN,BLOOMINGTON
DUBOIS,PA,DUBOIS
SPARTANBURG,SC,SPARTANBURG
WALLA WALLA,WA,WALLA WALLA
COLUMBUS,GA,COLUMBUS
MODESTO,CA,MODESTO
ALEXANDRIA,IN,ALEXANDRIA
