F9_00_ORG_ADDR_CITY,F9_00_ORG_ADDR_STATE,CITY,State,Percent_Unhealthy_Days
BANGOR,ME,BANGOR,ME,0.0
ROCKLAND,ME,ROCKLAND,ME,0.0
MADISON,WI,MADISON,WI,0.0
BISMARCK,ND,BISMARCK,ND,0.0
SAVANNAH,GA,SAVANNAH,GA,0.0
BATON ROUGE,LA,BATON ROUGE,LA,2.4657534246575343
ROANOKE,VA,ROANOKE,VA,0.0
TUPELO,MS,TUPELO,MS,0.0
PITTSBURGH,PA,PITTSBURGH,PA,3.287671232876712
MINOT,ND,MINOT,ND,0.0
PORT ANGELES,WA,PORT ANGELES,WA,0.0
ROME,GA,ROME,GA,0.0
YAKIMA,WA,YAKIMA,WA,2.73972602739726
TRAVERSE CITY,MI,TRAVERSE CITY,MI,0.0
JACKSONVILLE,FL,JACKSONVILLE,FL,0.273972602739726
ITHACA,NY,ITHACA,NY,0.0
FRESNO,CA,FRESNO,CA,18.08219178082192
MISSOULA,MT,MISSOULA,MT,1.095890410958904
OCALA,FL,OCALA,FL,0.0
ANN ARBOR,MI,ANN ARBOR,MI,0.0
SENECA,SC,SENECA,SC,0.0
FORT WAYNE,IN,FORT WAYNE,IN,0.273972602739726
GREELEY,CO,GREELEY,CO,2.191780821917808
TYLER,TX,TYLER,TX,0.2747252747252747
TUCSON,AZ,TUCSON,AZ,0.547945205479452
EL PASO,TX,EL PASO,TX,3.5616438356164384
RENO,NV,RENO,NV,0.0
PITTSFIELD,MA,PITTSFIELD,MA,0.0
ALBUQUERQUE,NM,ALBUQUERQUE,NM,1.095890410958904
DEMING,NM,DEMING,NM,0.554016620498615
ANCHORAGE,AK,ANCHORAGE,AK,3.287671232876712
CONCORD,NH,CONCORD,NH,0.0
KEENE,NH,KEENE,NH,0.0
LACONIA,NH,LACONIA,NH,0.0
VALDOSTA,GA,VALDOSTA,GA,0.0
WILMINGTON,NC,WILMINGTON,NC,0.0
GRAND JUNCTION,CO,GRAND JUNCTION,CO,0.2747252747252747
