CBSA,City,State,Total_Rev_Prog_Desc,Average_AQI,Latitude,Longitude
"ABERDEEN, SD",ABERDEEN,SD,5879135.0,29.120253164556964,45.4649805,-98.487813
"ADRIAN, MI",ADRIAN,MI,1352099.0,45.237430167597765,41.8975152,-84.0373054
"AKRON, OH",AKRON,OH,49531798.0,48.48626373626374,41.083064,-81.518485
"ALBANY, GA",ALBANY,GA,5241838.0,45.325936199722605,31.5782062,-84.1556809
"ALBUQUERQUE, NM",ALBUQUERQUE,NM,97952369.0,57.66301369863014,35.0841034,-106.650985
"ALEXANDRIA, LA",ALEXANDRIA,LA,4869078.0,38.865546218487395,31.3119463,-92.4453558
"ALTOONA, PA",ALTOONA,PA,15137687.0,47.14772727272727,40.5193586,-78.3968299
"AMARILLO, TX",AMARILLO,TX,21910956.0,44.69315068493151,35.20729,-101.8371192
"AMERICUS, GA",AMERICUS,GA,230000.0,39.45378151260504,32.0723862,-84.2326876
"ANCHORAGE, AK",ANCHORAGE,AK,52404400.0,43.26301369863014,61.2163129,-149.894852
"ANN ARBOR, MI",ANN ARBOR,MI,37769774.0,45.20273972602739,42.2813722,-83.7484616
"APPLETON, WI",APPLETON,WI,23545104.0,42.26301369863014,44.2613967,-88.4069744
"ARDMORE, OK",ARDMORE,OK,3046023.0,45.83835616438356,34.1729273,-97.1309119
"ARKADELPHIA, AR",ARKADELPHIA,AR,2598099.0,33.03661971830986,34.1209292,-93.053784
"ASHEVILLE, NC",ASHEVILLE,NC,33476006.0,42.43835616438356,35.595363,-82.5508407
"ASHTABULA, OH",ASHTABULA,OH,7235058.0,40.885714285714286,41.8647873,-80.7841284
"ATHENS, OH",ATHENS,OH,8108269.0,37.22431865828092,39.355589,-82.0610404
"BAKERSFIELD, CA",BAKERSFIELD,CA,21423381.0,79.07123287671233,35.3738712,-119.019463
"BANGOR, ME",BANGOR,ME,9417120.0,32.69613259668508,44.8016255,-68.7713289
"BARABOO, WI",BARABOO,WI,2879431.0,40.95616438356164,43.4704014,-89.7437844
