CITY,CBSA,Percent_Unhealthy_Days
ABERDEEN,"Aberdeen, SD",0.0
ADJUNTAS,"Adjuntas, PR",0.0
ADRIAN,"Adrian, MI",0.0
AKRON,"Akron, OH",0.8241758241758242
ALBANY,"Albany, GA",0.5547850208044383
ALBANY-SCHENECTADY-TROY,"Albany-Schenectady-Troy, NY",0.0
ALBUQUERQUE,"Albuquerque, NM",1.095890410958904
ALEXANDRIA,"Alexandria, LA",0.0
ALLENTOWN-BETHLEHEM-EASTON,"Allentown-Bethlehem-Easton, PA-NJ",1.095890410958904
ALTOONA,"Altoona, PA",0.0
AMARILLO,"Amarillo, TX",0.547945205479452
AMERICUS,"Americus, GA",0.0
ANCHORAGE,"Anchorage, AK",3.287671232876712
ANN ARBOR,"Ann Arbor, MI",0.0
APPLETON,"Appleton, WI",0.547945205479452
ARDMORE,"Ardmore, OK",0.0
ARKADELPHIA,"Arkadelphia, AR",0.0
ASHEVILLE,"Asheville, NC",0.0
ASHTABULA,"Ashtabula, OH",0.40816326530612246
ATHENS,"Athens, OH",0.0
ATHENS-CLARKE COUNTY,"Athens-Clarke County, GA",0.0
ATLANTA-SANDY SPRINGS-ROSWELL,"Atlanta-Sandy Springs-Roswell, GA",5.205479452054795
ATLANTIC CITY-HAMMONTON,"Atlantic City-Hammonton, NJ",0.273972602739726
AUGUSTA-RICHMOND COUNTY,"Augusta-Richmond County, GA-SC",0.547945205479452
AUGUSTA-WATERVILLE,"Augusta-Waterville, ME",0.0
AUSTIN-ROUND ROCK,"Austin-Round Rock, TX",0.547945205479452
BAKERSFIELD,"Bakersfield, CA",26.027397260273972
BALTIMORE-COLUMBIA-TOWSON,"Baltimore-Columbia-Towson, MD",3.5616438356164384
BANGOR,"Bangor, ME",0.0
BARABOO,"Baraboo, WI",0.273972602739726
BARNSTABLE TOWN,"Barnstable Town, MA",0.0
BATON ROUGE,"Baton Rouge, LA",2.4657534246575343
BAY CITY,"Bay City, MI",0.0
BEAUMONT-PORT ARTHUR,"Beaumont-Port Arthur, TX",1.643835616438356
BEAVER DAM,"Beaver Dam, WI",0.273972602739726
BELLINGHAM,"Bellingham, WA",0.0
BEMIDJI,"Bemidji, MN",0.5681818181818182
BEND-REDMOND,"Bend-Redmond, OR",1.36986301369863
BENNINGTON,"Bennington, VT",0.0
BERLIN,"Berlin, NH-VT",0.0
BILLINGS,"Billings, MT",0.3424657534246575
BIRMINGHAM-HOOVER,"Birmingham-Hoover, AL",4.10958904109589
BISHOP,"Bishop, CA",3.287671232876712
BISMARCK,"Bismarck, ND",0.0
BLACKSBURG-CHRISTIANSBURG-RADFORD,"Blacksburg-Christiansburg-Radford, VA",0.0
BLOOMINGTON,"Bloomington, IL",0.0
BOISE CITY,"Boise City, ID",0.821917808219178
BOSTON-CAMBRIDGE-NEWTON,"Boston-Cambridge-Newton, MA-NH",0.273972602739726
BOULDER,"Boulder, CO",1.36986301369863
BOWLING GREEN,"Bowling Green, KY",0.0
BOZEMAN,"Bozeman, MT",0.0
BRAINERD,"Brainerd, MN",0.5571030640668524
BRANSON,"Branson, MO",0.0
BREMERTON-SILVERDALE,"Bremerton-Silverdale, WA",0.0
BRIDGEPORT-STAMFORD-NORWALK,"Bridgeport-Stamford-Norwalk, CT",5.7534246575342465
BROOKINGS,"Brookings, SD",1.36986301369863
BROWNSVILLE-HARLINGEN,"Brownsville-Harlingen, TX",0.0
BRUNSWICK,"Brunswick, GA",0.0
BUFFALO-CHEEKTOWAGA-NIAGARA FALLS,"Buffalo-Cheektowaga-Niagara Falls, NY",0.0
BURLINGTON-SOUTH BURLINGTON,"Burlington-South Burlington, VT",0.0
BUTTE-SILVER BOW,"Butte-Silver Bow, MT",0.0
CA?ON CITY,"Ca?on City, CO",0.0
CADILLAC,"Cadillac, MI",0.0
CAMBRIDGE,"Cambridge, MD",0.821917808219178
CANTON-MASSILLON,"Canton-Massillon, OH",0.0
CAPE CORAL-FORT MYERS,"Cape Coral-Fort Myers, FL",0.273972602739726
CARLSBAD-ARTESIA,"Carlsbad-Artesia, NM",5.205479452054795
CARSON CITY,"Carson City, NV",0.0
CASPER,"Casper, WY",0.0
CEDAR CITY,"Cedar City, UT",0.0
CEDAR RAPIDS,"Cedar Rapids, IA",0.0
CENTRALIA,"Centralia, WA",0.0
CHAMBERSBURG-WAYNESBORO,"Chambersburg-Waynesboro, PA",0.0
CHAMPAIGN-URBANA,"Champaign-Urbana, IL",0.0
CHARLESTON,"Charleston, WV",0.0
CHARLESTON-NORTH CHARLESTON,"Charleston-North Charleston, SC",0.0
CHARLOTTE-CONCORD-GASTONIA,"Charlotte-Concord-Gastonia, NC-SC",4.657534246575342
CHARLOTTESVILLE,"Charlottesville, VA",0.0
CHATTANOOGA,"Chattanooga, TN-GA",0.0
CHEYENNE,"Cheyenne, WY",0.0
CHICAGO-NAPERVILLE-ELGIN,"Chicago-Naperville-Elgin, IL-IN-WI",3.5616438356164384
CHICO,"Chico, CA",1.36986301369863
CINCINNATI,"Cincinnati, OH-KY-IN",2.4657534246575343
CLAREMONT-LEBANON,"Claremont-Lebanon, NH-VT",0.0
CLARKSBURG,"Clarksburg, WV",0.0
CLARKSVILLE,"Clarksville, TN-KY",0.0
CLEARLAKE,"Clearlake, CA",0.0
CLEVELAND,"Cleveland, MS",0.0
CLEVELAND-ELYRIA,"Cleveland-Elyria, OH",1.9178082191780823
CLINTON,"Clinton, IA",0.0
COEUR D'ALENE,"Coeur d'Alene, ID",0.0
COLORADO SPRINGS,"Colorado Springs, CO",0.0
COLUMBIA,"Columbia, MO",0.0
COLUMBUS,"Columbus, GA-AL",0.09140767824497258
CONCORD,"Concord, NH",0.0
COOKEVILLE,"Cookeville, TN",0.0
COOS BAY,"Coos Bay, OR",0.0
CORNING,"Corning, NY",0.0
CORPUS CHRISTI,"Corpus Christi, TX",0.273972602739726
CORSICANA,"Corsicana, TX",0.0
CORVALLIS,"Corvallis, OR",0.0
CRESCENT CITY,"Crescent City, CA",0.0
CRESTVIEW-FORT WALTON BEACH-DESTIN,"Crestview-Fort Walton Beach-Destin, FL",0.0
CULLOWHEE,"Cullowhee, NC",0.0
DALLAS-FORT WORTH-ARLINGTON,"Dallas-Fort Worth-Arlington, TX",7.9452054794520555
DALTON,"Dalton, GA",0.0
DAPHNE-FAIRHOPE-FOLEY,"Daphne-Fairhope-Foley, AL",0.0
DAVENPORT-MOLINE-ROCK ISLAND,"Davenport-Moline-Rock Island, IA-IL",0.821917808219178
DAYTON,"Dayton, OH",0.0
DECATUR,"Decatur, AL",0.0
DELTONA-DAYTONA BEACH-ORMOND BEACH,"Deltona-Daytona Beach-Ormond Beach, FL",0.0
DEMING,"Deming, NM",0.554016620498615
DENVER-AURORA-LAKEWOOD,"Denver-Aurora-Lakewood, CO",6.575342465753424
DES MOINES-WEST DES MOINES,"Des Moines-West Des Moines, IA",0.0
DETROIT-WARREN-DEARBORN,"Detroit-Warren-Dearborn, MI",3.287671232876712
DICKINSON,"Dickinson, ND",0.0
DODGE CITY,"Dodge City, KS",0.0
DOTHAN,"Dothan, AL",0.0
DOUGLAS,"Douglas, GA",0.0
DOVER,"Dover, DE",0.0
DUBOIS,"DuBois, PA",0.0
DULUTH,"Duluth, MN-WI",0.273972602739726
DURANGO,"Durango, CO",0.0
DURHAM-CHAPEL HILL,"Durham-Chapel Hill, NC",0.0
DYERSBURG,"Dyersburg, TN",0.0
EAGLE PASS,"Eagle Pass, TX",0.2949852507374631
EAST STROUDSBURG,"East Stroudsburg, PA",0.0
EAU CLAIRE,"Eau Claire, WI",0.0
EFFINGHAM,"Effingham, IL",0.0
EL CENTRO,"El Centro, CA",5.7534246575342465
EL DORADO,"El Dorado, AR",0.0
EL PASO,"El Paso, TX",3.5616438356164384
ELIZABETHTOWN-FORT KNOX,"Elizabethtown-Fort Knox, KY",0.0
ELKHART-GOSHEN,"Elkhart-Goshen, IN",0.0
ELKO,"Elko, NV",0.0
ELLENSBURG,"Ellensburg, WA",0.0
EMPORIA,"Emporia, KS",0.847457627118644
ERIE,"Erie, PA",0.0
ESPA?OLA,"Espa?ola, NM",0.0
EUGENE,"Eugene, OR",2.191780821917808
EUREKA-ARCATA-FORTUNA,"Eureka-Arcata-Fortuna, CA",0.0
EVANSTON,"Evanston, WY",0.273972602739726
EVANSVILLE,"Evansville, IN-KY",0.0
FAIRBANKS,"Fairbanks, AK",10.684931506849315
FAIRMONT,"Fairmont, WV",0.0
FALLON,"Fallon, NV",0.0
FARGO,"Fargo, ND-MN",0.5509641873278237
FARMINGTON,"Farmington, NM",0.0
FAYETTEVILLE,"Fayetteville, NC",0.0
FAYETTEVILLE-SPRINGDALE-ROGERS,"Fayetteville-Springdale-Rogers, AR-MO",0.0
FERNLEY,"Fernley, NV",0.0
FLAGSTAFF,"Flagstaff, AZ",0.0
FLINT,"Flint, MI",0.0
FLORENCE,"Florence, SC",0.0
FLORENCE-MUSCLE SHOALS,"Florence-Muscle Shoals, AL",0.0
FOND DU LAC,"Fond du Lac, WI",0.0
FORT COLLINS,"Fort Collins, CO",1.643835616438356
FORT MADISON-KEOKUK,"Fort Madison-Keokuk, IA-IL-MO",0.0
FORT PAYNE,"Fort Payne, AL",0.0
FORT SMITH,"Fort Smith, AR-OK",0.0
FORT WAYNE,"Fort Wayne, IN",0.273972602739726
FRESNO,"Fresno, CA",18.08219178082192
GADSDEN,"Gadsden, AL",0.0
GAINESVILLE,"Gainesville, FL",0.0
GARDNERVILLE RANCHOS,"Gardnerville Ranchos, NV",0.0
GEORGETOWN,"Georgetown, SC",0.0
GETTYSBURG,"Gettysburg, PA",0.0
GILLETTE,"Gillette, WY",0.273972602739726
GLENWOOD SPRINGS,"Glenwood Springs, CO",0.547945205479452
GRAND ISLAND,"Grand Island, NE",0.0
GRAND JUNCTION,"Grand Junction, CO",0.27472527472527475
GRAND RAPIDS-WYOMING,"Grand Rapids-Wyoming, MI",0.0
GRANTS PASS,"Grants Pass, OR",1.36986301369863
GREAT FALLS,"Great Falls, MT",0.27548209366391185
GREELEY,"Greeley, CO",2.191780821917808
GREEN BAY,"Green Bay, WI",0.0
GREENFIELD TOWN,"Greenfield Town, MA",0.0
GREENSBORO-HIGH POINT,"Greensboro-High Point, NC",0.0
GREENVILLE,"Greenville, NC",0.0
GREENVILLE-ANDERSON-MAULDIN,"Greenville-Anderson-Mauldin, SC",0.273972602739726
GUAYAMA,"Guayama, PR",0.0
GULFPORT-BILOXI-PASCAGOULA,"Gulfport-Biloxi-Pascagoula, MS",0.273972602739726
HAGERSTOWN-MARTINSBURG,"Hagerstown-Martinsburg, MD-WV",0.5524861878453038
HAILEY,"Hailey, ID",0.0
HAMMOND,"Hammond, LA",0.0
HANFORD-CORCORAN,"Hanford-Corcoran, CA",11.232876712328768
HARRISBURG-CARLISLE,"Harrisburg-Carlisle, PA",1.643835616438356
HARRISON,"Harrison, AR",0.0
HARRISONBURG,"Harrisonburg, VA",0.0
HARTFORD-WEST HARTFORD-EAST HARTFORD,"Hartford-West Hartford-East Hartford, CT",2.191780821917808
HATTIESBURG,"Hattiesburg, MS",0.0
HELENA,"Helena, MT",0.547945205479452
HERMISTON-PENDLETON,"Hermiston-Pendleton, OR",0.273972602739726
HICKORY-LENOIR-MORGANTON,"Hickory-Lenoir-Morganton, NC",0.0
HILO,"Hilo, HI",0.0
HOBBS,"Hobbs, NM",1.095890410958904
HOLLAND,"Holland, MI",1.4492753623188406
HOMOSASSA SPRINGS,"Homosassa Springs, FL",0.0
HOT SPRINGS,"Hot Springs, AR",0.0
HOUGHTON,"Houghton, MI",0.0
HOUMA-THIBODAUX,"Houma-Thibodaux, LA",0.554016620498615
HOUSTON-THE WOODLANDS-SUGAR LAND,"Houston-The Woodlands-Sugar Land, TX",8.493150684931507
HUNTINGTON,"Huntington, IN",0.0
HUNTINGTON-ASHLAND,"Huntington-Ashland, WV-KY-OH",0.0
HUNTSVILLE,"Huntsville, AL",0.0
IDAHO FALLS,"Idaho Falls, ID",0.0
INDIANA,"Indiana, PA",0.0
INDIANAPOLIS-CARMEL-ANDERSON,"Indianapolis-Carmel-Anderson, IN",1.36986301369863
IOWA CITY,"Iowa City, IA",0.0
