CITY,State,Percent_Unhealthy_Days
ABERDEEN,SD,0.0
ADJUNTAS,PR,0.0
ADRIAN,MI,0.0
AKRON,OH,0.8241758241758242
ALBANY,GA,0.5547850208044383
ALBANY-SCHENECTADY-TROY,NY,0.0
ALBUQUERQUE,NM,1.095890410958904
ALEXANDRIA,LA,0.0
ALLENTOWN-BETHLEHEM-EASTON,PA-NJ,1.095890410958904
ALTOONA,PA,0.0
AMARILLO,TX,0.547945205479452
AMERICUS,GA,0.0
ANCHORAGE,AK,3.287671232876712
ANN ARBOR,MI,0.0
APPLETON,WI,0.547945205479452
ARDMORE,OK,0.0
ARKADELPHIA,AR,0.0
ASHEVILLE,NC,0.0
ASHTABULA,OH,0.4081632653061224
ATHENS,OH,0.0
ATHENS-CLARKE COUNTY,GA,0.0
ATLANTA-SANDY SPRINGS-ROSWELL,GA,5.205479452054795
ATLANTIC CITY-HAMMONTON,NJ,0.273972602739726
AUGUSTA-RICHMOND COUNTY,GA-SC,0.547945205479452
AUGUSTA-WATERVILLE,ME,0.0
AUSTIN-ROUND ROCK,TX,0.547945205479452
BAKERSFIELD,CA,26.02739726027397
BALTIMORE-COLUMBIA-TOWSON,MD,3.5616438356164384
BANGOR,ME,0.0
BARABOO,WI,0.273972602739726
BARNSTABLE TOWN,MA,0.0
BATON ROUGE,LA,2.4657534246575343
BAY CITY,MI,0.0
BEAUMONT-PORT ARTHUR,TX,1.643835616438356
BEAVER DAM,WI,0.273972602739726
BELLINGHAM,WA,0.0
BEMIDJI,MN,0.5681818181818182
BEND-REDMOND,OR,1.36986301369863
BENNINGTON,VT,0.0
BERLIN,NH-VT,0.0
BILLINGS,MT,0.3424657534246575
BIRMINGHAM-HOOVER,AL,4.10958904109589
BISHOP,CA,3.287671232876712
BISMARCK,ND,0.0
BLACKSBURG-CHRISTIANSBURG-RADFORD,VA,0.0
BLOOMINGTON,IL,0.0
BOISE CITY,ID,0.821917808219178
BOSTON-CAMBRIDGE-NEWTON,MA-NH,0.273972602739726
BOULDER,CO,1.36986301369863
BOWLING GREEN,KY,0.0
BOZEMAN,MT,0.0
BRAINERD,MN,0.5571030640668524
BRANSON,MO,0.0
BREMERTON-SILVERDALE,WA,0.0
BRIDGEPORT-STAMFORD-NORWALK,CT,5.753424657534247
BROOKINGS,SD,1.36986301369863
BROWNSVILLE-HARLINGEN,TX,0.0
BRUNSWICK,GA,0.0
BUFFALO-CHEEKTOWAGA-NIAGARA FALLS,NY,0.0
BURLINGTON-SOUTH BURLINGTON,VT,0.0
BUTTE-SILVER BOW,MT,0.0
CA?ON CITY,CO,0.0
CADILLAC,MI,0.0
CAMBRIDGE,MD,0.821917808219178
CANTON-MASSILLON,OH,0.0
CAPE CORAL-FORT MYERS,FL,0.273972602739726
CARLSBAD-ARTESIA,NM,5.205479452054795
CARSON CITY,NV,0.0
CASPER,WY,0.0
CEDAR CITY,UT,0.0
CEDAR RAPIDS,IA,0.0
CENTRALIA,WA,0.0
CHAMBERSBURG-WAYNESBORO,PA,0.0
CHAMPAIGN-URBANA,IL,0.0
CHARLESTON,WV,0.0
CHARLESTON-NORTH CHARLESTON,SC,0.0
CHARLOTTE-CONCORD-GASTONIA,NC-SC,4.657534246575342
CHARLOTTESVILLE,VA,0.0
CHATTANOOGA,TN-GA,0.0
CHEYENNE,WY,0.0
CHICAGO-NAPERVILLE-ELGIN,IL-IN-WI,3.5616438356164384
CHICO,CA,1.36986301369863
CINCINNATI,OH-KY-IN,2.4657534246575343
CLAREMONT-LEBANON,NH-VT,0.0
CLARKSBURG,WV,0.0
CLARKSVILLE,TN-KY,0.0
CLEARLAKE,CA,0.0
CLEVELAND,MS,0.0
CLEVELAND-ELYRIA,OH,1.9178082191780823
CLINTON,IA,0.0
COEUR D'ALENE,ID,0.0
COLORADO SPRINGS,CO,0.0
COLUMBIA,MO,0.0
COLUMBUS,GA-AL,0.0914076782449725
CONCORD,NH,0.0
COOKEVILLE,TN,0.0
COOS BAY,OR,0.0
CORNING,NY,0.0
CORPUS CHRISTI,TX,0.273972602739726
CORSICANA,TX,0.0
CORVALLIS,OR,0.0
CRESCENT CITY,CA,0.0
CRESTVIEW-FORT WALTON BEACH-DESTIN,FL,0.0
CULLOWHEE,NC,0.0
DALLAS-FORT WORTH-ARLINGTON,TX,7.945205479452055
DALTON,GA,0.0
DAPHNE-FAIRHOPE-FOLEY,AL,0.0
DAVENPORT-MOLINE-ROCK ISLAND,IA-IL,0.821917808219178
DAYTON,OH,0.0
DECATUR,AL,0.0
DELTONA-DAYTONA BEACH-ORMOND BEACH,FL,0.0
DEMING,NM,0.554016620498615
DENVER-AURORA-LAKEWOOD,CO,6.575342465753424
DES MOINES-WEST DES MOINES,IA,0.0
DETROIT-WARREN-DEARBORN,MI,3.287671232876712
DICKINSON,ND,0.0
DODGE CITY,KS,0.0
DOTHAN,AL,0.0
DOUGLAS,GA,0.0
DOVER,DE,0.0
DUBOIS,PA,0.0
DULUTH,MN-WI,0.273972602739726
DURANGO,CO,0.0
DURHAM-CHAPEL HILL,NC,0.0
DYERSBURG,TN,0.0
EAGLE PASS,TX,0.2949852507374631
EAST STROUDSBURG,PA,0.0
EAU CLAIRE,WI,0.0
EFFINGHAM,IL,0.0
EL CENTRO,CA,5.753424657534247
EL DORADO,AR,0.0
EL PASO,TX,3.5616438356164384
