CITY,CBSA,Percent_Unhealthy_Days,Latitude,Longitude,STATE,Total_Rev_Prog_Desc
ABERDEEN,"Aberdeen, SD",0.0,45.4649805,-98.487813,SD,5879135.0
ADJUNTAS,"Adjuntas, PR",0.0,18.18130935,-66.7524515474532,,
ADRIAN,"Adrian, MI",0.0,41.8975152,-84.0373054,MI,1352099.0
AKRON,"Akron, OH",0.8241758241758242,41.083064,-81.518485,OH,49531798.0
ALBANY,"Albany, GA",0.5547850208044383,31.5782062,-84.1556809,GA,5241838.0
ALBANY-SCHENECTADY-TROY,"Albany-Schenectady-Troy, NY",0.0,42.75578055,-73.7741253000329,,
ALBUQUERQUE,"Albuquerque, NM",1.095890410958904,35.0841034,-106.650985,NM,97952369.0
ALEXANDRIA,"Alexandria, LA",0.0,31.3119463,-92.4453558,LA,4869078.0
ALLENTOWN-BETHLEHEM-EASTON,"Allentown-Bethlehem-Easton, PA-NJ",1.095890410958904,,,,
ALTOONA,"Altoona, PA",0.0,40.5193586,-78.3968299,PA,15137687.0
AMARILLO,"Amarillo, TX",0.547945205479452,35.20729,-101.8371192,TX,21910956.0
AMERICUS,"Americus, GA",0.0,32.0723862,-84.2326876,GA,230000.0
ANCHORAGE,"Anchorage, AK",3.287671232876712,61.2163129,-149.894852,AK,52404400.0
ANN ARBOR,"Ann Arbor, MI",0.0,42.2813722,-83.7484616,MI,37769774.0
APPLETON,"Appleton, WI",0.547945205479452,44.2613967,-88.4069744,WI,23545104.0
ARDMORE,"Ardmore, OK",0.0,34.1729273,-97.1309119,OK,3046023.0
ARKADELPHIA,"Arkadelphia, AR",0.0,34.1209292,-93.053784,AR,2598099.0
ASHEVILLE,"Asheville, NC",0.0,35.595363,-82.5508407,NC,33476006.0
ASHTABULA,"Ashtabula, OH",0.4081632653061224,41.8647873,-80.7841284,OH,7235058.0
ATHENS,"Athens, OH",0.0,39.355589,-82.0610404,OH,8108269.0
ATHENS-CLARKE COUNTY,"Athens-Clarke County, GA",0.0,33.9597677,-83.376398,,
ATLANTA-SANDY SPRINGS-ROSWELL,"Atlanta-Sandy Springs-Roswell, GA",5.205479452054795,33.878551868586904,-84.37979051158794,,
ATLANTIC CITY-HAMMONTON,"Atlantic City-Hammonton, NJ",0.273972602739726,39.601285327542705,-74.80925375533073,,
AUGUSTA-RICHMOND COUNTY,"Augusta-Richmond County, GA-SC",0.547945205479452,,,,
AUGUSTA-WATERVILLE,"Augusta-Waterville, ME",0.0,,,,
AUSTIN-ROUND ROCK,"Austin-Round Rock, TX",0.547945205479452,30.47680365,-97.67381693324528,,
BAKERSFIELD,"Bakersfield, CA",26.027397260273972,35.3738712,-119.019463,CA,21423381.0
BALTIMORE-COLUMBIA-TOWSON,"Baltimore-Columbia-Towson, MD",3.5616438356164384,,,,
BANGOR,"Bangor, ME",0.0,44.8016255,-68.7713289,ME,9417120.0
BARABOO,"Baraboo, WI",0.273972602739726,43.4704014,-89.7437844,WI,2879431.0
BARNSTABLE TOWN,"Barnstable Town, MA",0.0,41.6514957,-70.28259620086317,,
BATON ROUGE,"Baton Rouge, LA",2.4657534246575343,30.4494155,-91.1869659,LA,56150518.0
BAY CITY,"Bay City, MI",0.0,43.5962107,-83.8881711,MI,16755382.0
BEAUMONT-PORT ARTHUR,"Beaumont-Port Arthur, TX",1.643835616438356,29.945972788176608,-93.9743616382256,,
BEAVER DAM,"Beaver Dam, WI",0.273972602739726,43.4577692,-88.837329,WI,1235100.0
BELLINGHAM,"Bellingham, WA",0.0,48.7544012,-122.478836,WA,30450216.0
BEMIDJI,"Bemidji, MN",0.5681818181818182,47.4785418,-94.8907869,MN,8974959.0
BEND-REDMOND,"Bend-Redmond, OR",1.36986301369863,44.2165084,-121.2150324,,
BENNINGTON,"Bennington, VT",0.0,42.8788667,-73.1968205,VT,1611209.0
BERLIN,"Berlin, NH-VT",0.0,44.2100759,-72.6034049442611,,
BILLINGS,"Billings, MT",0.3424657534246575,45.7874957,-108.49607,MT,22383362.0
BIRMINGHAM-HOOVER,"Birmingham-Hoover, AL",4.10958904109589,33.362913500000005,-86.82832937707872,,
BISHOP,"Bishop, CA",3.287671232876712,37.363679,-118.39524,CA,2860519.0
BISMARCK,"Bismarck, ND",0.0,46.808327,-100.783739,ND,28997766.0
BLACKSBURG-CHRISTIANSBURG-RADFORD,"Blacksburg-Christiansburg-Radford, VA",0.0,,,,
BLOOMINGTON,"Bloomington, IL",0.0,40.4797828,-88.9939147,IL,8296224.0
BOISE CITY,"Boise City, ID",0.821917808219178,43.6166163,-116.200886,,
BOSTON-CAMBRIDGE-NEWTON,"Boston-Cambridge-Newton, MA-NH",0.273972602739726,,,,
BOULDER,"Boulder, CO",1.36986301369863,40.0149856,-105.270545,CO,56245153.0
BOWLING GREEN,"Bowling Green, KY",0.0,36.9903199,-86.4436018,KY,6180578.0
BOZEMAN,"Bozeman, MT",0.0,45.6794293,-111.044047,MT,29462610.0
BRAINERD,"Brainerd, MN",0.5571030640668524,46.3580221,-94.2008288,MN,10396523.0
BRANSON,"Branson, MO",0.0,36.6440772,-93.2169256,MO,8025107.0
BREMERTON-SILVERDALE,"Bremerton-Silverdale, WA",0.0,,,,
BRIDGEPORT-STAMFORD-NORWALK,"Bridgeport-Stamford-Norwalk, CT",5.7534246575342465,,,,
BROOKINGS,"Brookings, SD",1.36986301369863,44.311461,-96.79844,SD,4478897.0
BROWNSVILLE-HARLINGEN,"Brownsville-Harlingen, TX",0.0,25.9738093,-97.5098892,,
BRUNSWICK,"Brunswick, GA",0.0,31.1499528,-81.4914894,GA,6513758.0
BUFFALO-CHEEKTOWAGA-NIAGARA FALLS,"Buffalo-Cheektowaga-Niagara Falls, NY",0.0,,,,
BURLINGTON-SOUTH BURLINGTON,"Burlington-South Burlington, VT",0.0,44.4690246,-73.1549228,,
BUTTE-SILVER BOW,"Butte-Silver Bow, MT",0.0,46.0131505,-112.536508,,
CA?ON CITY,"Ca?on City, CO",0.0,45.3872032,-75.69714552162606,,
CADILLAC,"Cadillac, MI",0.0,44.2519526,-85.4011619,MI,6863259.0
CAMBRIDGE,"Cambridge, MD",0.821917808219178,38.5714624,-76.0763177,MD,1536800.0
CANTON-MASSILLON,"Canton-Massillon, OH",0.0,,,,
CAPE CORAL-FORT MYERS,"Cape Coral-Fort Myers, FL",0.273972602739726,26.5640011,-81.96045738661337,,
CARLSBAD-ARTESIA,"Carlsbad-Artesia, NM",5.205479452054795,,,,
CARSON CITY,"Carson City, NV",0.0,39.1663259,-119.7670374,NV,6077718.0
CASPER,"Casper, WY",0.0,42.8501191,-106.325138,WY,11326848.0
CEDAR CITY,"Cedar City, UT",0.0,37.6774238,-113.061827,UT,2211641.0
CEDAR RAPIDS,"Cedar Rapids, IA",0.0,41.9758872,-91.6704053,IA,35863274.0
CENTRALIA,"Centralia, WA",0.0,46.7204489,-122.96143,WA,5271311.0
CHAMBERSBURG-WAYNESBORO,"Chambersburg-Waynesboro, PA",0.0,,,,
CHAMPAIGN-URBANA,"Champaign-Urbana, IL",0.0,40.1157948,-88.241194,,
CHARLESTON,"Charleston, WV",0.0,38.3505995,-81.6332812,WV,38381616.0
CHARLESTON-NORTH CHARLESTON,"Charleston-North Charleston, SC",0.0,32.8546197,-79.9748103,,
CHARLOTTE-CONCORD-GASTONIA,"Charlotte-Concord-Gastonia, NC-SC",4.657534246575342,,,,
CHARLOTTESVILLE,"Charlottesville, VA",0.0,38.029306,-78.4766781,VA,4035920.0
CHATTANOOGA,"Chattanooga, TN-GA",0.0,34.93021,-85.343951,,
CHEYENNE,"Cheyenne, WY",0.0,41.139981,-104.820246,WY,14489501.0
CHICAGO-NAPERVILLE-ELGIN,"Chicago-Naperville-Elgin, IL-IN-WI",3.5616438356164384,,,,
CHICO,"Chico, CA",1.36986301369863,39.7284945,-121.8374777,CA,11491076.0
CINCINNATI,"Cincinnati, OH-KY-IN",2.4657534246575343,,,,
CLAREMONT-LEBANON,"Claremont-Lebanon, NH-VT",0.0,,,,
CLARKSBURG,"Clarksburg, WV",0.0,39.2806451,-80.3445341,WV,4282419.0
CLARKSVILLE,"Clarksville, TN-KY",0.0,36.68373727562121,-87.29182286360417,,
