F9_08_REV_PROG_DESC
City: EL CENTRO, CA, X: 713940.0, Y: 64.78630136986301, Distance from Trendline: 30.715339428003624
City: LAS CRUCES, NM, X: 7259670.0, Y: 63.23835616438356, Distance from Trendline: 22.845479849052502
City: SALT LAKE CITY, UT, X: 9853598.0, Y: 61.86027397260274, Distance from Trendline: 20.634660595172434
City: MADERA, CA, X: 1857310.0, Y: 56.35342465753425, Distance from Trendline: 19.676368118816562
City: BISHOP, CA, X: 2860519.0, Y: 56.86849315068493, Distance from Trendline: 19.014236353922385
City: GLENWOOD SPRINGS, CO, X: 621610.0, Y: 51.484931506849314, Distance from Trendline: 17.79145431440974
City: MERCED, CA, X: 3648220.0, Y: 55.03013698630137, Distance from Trendline: 16.512867551053304
City: PAYSON, AZ, X: 4298712.0, Y: 55.24109589041096, Distance from Trendline: 16.276588502217642
City: GREELEY, CO, X: 9567802.0, Y: 55.942465753424656, Distance from Trendline: 14.797081191014037
City: FARMINGTON, NM, X: 8566478.0, Y: 55.06301369863014, Distance from Trendline: 14.218957272211618
City: YUMA, AZ, X: 1758110.0, Y: 49.79178082191781, Distance from Trendline: 13.264342801821869
City: GRAND JUNCTION, CO, X: 1333720.0, Y: 48.752747252747255, Distance from Trendline: 12.978357755051292
City: MCALESTER, OK, X: 611710.0, Y: 46.59452054794521, Distance from Trendline: 12.94480485168171
City: LARAMIE, WY, X: 2042929.0, Y: 48.98630136986301, Distance from Trendline: 12.049598116634051
City: ROCK SPRINGS, WY, X: 2059220.0, Y: 48.71232876712329, Distance from Trendline: 11.753975309077646
City: HOBBS, NM, X: 3198729.0, Y: 49.83287671232877, Distance from Trendline: 11.674010893416309
City: CLINTON, IA, X: 1523099.0, Y: 47.76373626373626, Distance from Trendline: 11.627429023873901
City: CORPUS CHRISTI, TX, X: 2052319.0, Y: 48.463013698630135, Distance from Trendline: 11.513810458445406
City: YUBA CITY, CA, X: 4035809.0, Y: 49.76164383561644, Distance from Trendline: 10.9691578226916
City: MIAMI, OK, X: 522299.0, Y: 44.02203856749311, Distance from Trendline: 10.803048024745273
City: LAKE CHARLES, LA, X: 9852543.0, Y: 51.915068493150685, Distance from Trendline: 10.689746975525061
City: DECATUR, AL, X: 1275866.0, Y: 46.34293552812071, Distance from Trendline: 10.689426561091771
City: MOUNT VERNON, IL, X: 900099.0, Y: 45.3446519524618, Distance from Trendline: 10.64210708175257
City: RIVERTON, WY, X: 2217430.0, Y: 47.465753424657535, Distance from Trendline: 10.305632161279057
City: LAREDO, TX, X: 6781635.0, Y: 50.12602739726027, Distance from Trendline: 9.918821839942048
City: RED BLUFF, CA, X: 1322900.0, Y: 45.632876712328766, Distance from Trendline: 9.880690827045122
City: PONCA CITY, OK, X: 2583950.0, Y: 47.01095890410959, Distance from Trendline: 9.433871557708152
City: ADRIAN, MI, X: 1352099.0, Y: 45.237430167597765, Distance from Trendline: 9.425734958321243
City: EVANSTON, WY, X: 1153590.0, Y: 44.57808219178082, Distance from Trendline: 9.19918725112366
City: SONORA, CA, X: 2056934.0, Y: 45.84916201117319, Distance from Trendline: 8.893836219861761
City: KINSTON, NC, X: 624310.0, Y: 42.35021097046413, Distance from Trendline: 8.644919758071929
City: PONCE, PR, X: 1524299.0, Y: 44.74643874643875, Distance from Trendline: 8.607984786076031
City: SHOW LOW, AZ, X: 1434910.0, Y: 44.515068493150686, Distance from Trendline: 8.541341232827541
City: BEAVER DAM, WI, X: 1235100.0, Y: 44.07945205479452, Distance from Trendline: 8.514458489137105
City: AMERICUS, GA, X: 230000.0, Y: 39.45378151260504, Distance from Trendline: 8.47038265187173
City: BOWLING GREEN, KY, X: 6180578.0, Y: 48.33424657534247, Distance from Trendline: 8.380012449688202
City: OXFORD, NC, X: 1400520.0, Y: 44.27916666666667, Distance from Trendline: 8.371563229549444
City: WARNER ROBINS, GA, X: 5928161.0, Y: 48.01977401129943, Distance from Trendline: 8.179199457372633
City: ARDMORE, OK, X: 3046023.0, Y: 45.83835616438356, Distance from Trendline: 7.812827415262888
